//===============================================================================================================================================================================================================
// See in https://www.youtube.com/watch?v=v_mpmrPB9yU&t=11s
//===============================================================================================================================================================================================================
// Index   Value  ItemPosX  ItemPosY   ItemSize   ItemIndex   Level   Dur   Skill   Luck   Option   ExcOp   SetOp   JoH   OEx   Socket1   Socket2   Socket3   Socket4   Socket5   BonusSocket  Duration   Name
//===============================================================================================================================================================================================================
   0       5      0         3          11         6670        0       0     0       0      0        0       0       0     0     255       255       255       255       255       255          1000       // Box +1
   1       5      0         0          10         6670        1       0     0       0      0        0       0       0     0     255       255       255       255       255       255          0          // Box +2
   2       5      0         0          10         6658        1       0     0       0      0        0       0       0     0     255       255       255       255       255       255          0          // Box +2
   3       5      0         0          20         6144        1       0     0       0      0        0       0       0     0     255       255       255       255       255       255          0          // Box +2
   4       5      0         0          20         6145        1       0     0       0      0        0       0       0     0     255       255       255       255       255       255          0          // Box +2
   5       5      0         0          20         6146        1       0     0       0      0        0       0       0     0     255       255       255       255       255       255          0          // Box +2
   6       5      0         0          20         6147        1       0     0       0      0        0       0       0     0     255       255       255       255       255       255          0          // Box +2
   7       5      0         0          20         6148        1       0     0       0      0        0       0       0     0     255       255       255       255       255       255          0          // Box +2
   8       5      0         5          20         6149        1       0     0       0      0        0       0       0     0     255       255       255       255       255       255          0          // Box +2
   9       5      0         0          12         7181        0       0     0       0      0        0       0       0     0     255       255       255       255       255       255          0          // Box +2
   10      5      0         0          12         7182        0       0     0       0      0        0       0       0     0     255       255       255       255       255       255          0          // Box +2
   11      5      0         0          12         7184        0       0     0       0      0        0       0       0     0     255       255       255       255       255       255          0          // Box +2
   12      5      0         0          12         0001        0       0     0       0      0        0       0       0     0     255       255       255       255       255       255          0          // Box +2
   13      5      0         0          12         0002        0       0     0       0      0        0       0       0     0     255       255       255       255       255       255          0          // Box +2
   14      5      0         0          12         0003        0       0     0       0      0        0       0       0     0     255       255       255       255       255       255          0          // Box +2
   15      5      0         0          12         0004        0       0     0       0      0        0       0       0     0     255       255       255       255       255       255          0          // Box +2
   16      5      0         0          12         0005        0       0     0       0      0        0       0       0     0     255       255       255       255       255       255          0          // Box +2
   17      5      0         0          12         0006        0       0     0       0      0        0       0       0     0     255       255       255       255       255       255          0          // Box +2
   18      5      0         0          12         0007        0       0     0       0      0        0       0       0     0     255       255       255       255       255       255          0          // Box +2
   19      5      0         0          12         0008        0       0     0       0      0        0       0       0     0     255       255       255       255       255       255          0          // Box +2
   20      5      0         0          12         0009        0       0     0       0      0        0       0       0     0     255       255       255       255       255       255          0          // Box +2
   21      5      0         0          12         0010        0       0     0       0      0        0       0       0     0     255       255       255       255       255       255          0          // Box +2
   22      5      0         0          12         0011        0       0     0       0      0        0       0       0     0     255       255       255       255       255       255          0          // Box +2
   23      5      0         0          12         0012        0       0     0       0      0        0       0       0     0     255       255       255       255       255       255          0          // Box +2
   24      5      0         0          12         0013        0       0     0       0      0        0       0       0     0     255       255       255       255       255       255          0          // Box +2
   25      5      0         0          12         0014        0       0     0       0      0        0       0       0     0     255       255       255       255       255       255          0          // Box +2
   26      5      0         0          12         0015        0       0     0       0      0        0       0       0     0     255       255       255       255       255       255          0          // Box +2
end
