//=========================================================
// See in https://www.youtube.com/watch?v=_NfwyWX6puA
//=========================================================


0
//=================================================================================
// Schedule
//=================================================================================
// ALERT: Maximum 10 auctions at the same time
//=================================================================================
// Index   Year   Month   Day   Hour   Minute   IncreaseTime(Sec)   MaxTime(Min)
//=================================================================================
// 0       2021   04      08    22     54       60                  5
// 1       *      *       *     0      58       60                  5
// 2       *      *       *     1      02       60                  5
// 3       2020   11      30    1      06       60                  5
// 4       *      *       *     1      10       60                  5
end


1
//===================================
// Auction price
//===================================
// - CoinType:
//   1 = WC | 2 = WP | 3 = GP
//===================================
// Index   CoinType   BidAmount
//===================================
// 0       1          100
// 1       1          100
// 2       1          100
// 3       1          100
// 4       1          100
end


2
//==========================================================================================================================================================================
// Items for auction
//==========================================================================================================================================================================
// Max 10 items per Auction
//==========================================================================================================================================================================
// Index   Section   Type   Level   Dur   Skill   Luck   Option   ExcOp   SetOp   JoH   OEx   Socket1   Socket2   Socket3   Socket4   Socket5   BonusSocket   Time
//==========================================================================================================================================================================
   0       13        37     0       0     0       1      7        63      6       0     0     255       255       255       255       255       255           0
   0       13        80     0       0     0       0      0        0       0       0     0     255       255       255       255       255       255           0
   0       13        1      0       0     0       0      0        0       0       0     0     255       255       255       255       255       255           0
   0       13        1      0       0     0       0      0        0       0       0     0     255       255       255       255       255       255           0
   0       13        1      0       0     0       0      0        0       0       0     0     255       255       255       255       255       255           0
   0       13        1      0       0     0       0      0        0       0       0     0     255       255       255       255       255       255           0
   0       13        1      0       0     0       0      0        0       0       0     0     255       255       255       255       255       255           0
   0       13        1      0       0     0       0      0        0       0       0     0     255       255       255       255       255       255           0
   0       13        1      0       0     0       0      0        0       0       0     0     255       255       255       255       255       255           0
   1       13        2      0       0     0       0      0        0       0       0     0     255       255       255       255       255       255           0
   2       13        3      0       0     0       0      0        0       0       0     0     255       255       255       255       255       255           0
   3       13        4      0       0     0       0      0        0       0       0     0     255       255       255       255       255       255           0
   4       13        0      0       0     0       0      0        0       0       0     0     255       255       255       255       255       255           0
end
