0
//==============================================================================================================================
// See in https://www.youtube.com/watch?v=iV_bah59Ahk
//==============================================================================================================================
// Main Configuration
//==============================================================================================================================
// DropZen         : Amount of zen that will be dropped, if item drop fails.
// ItemDropRate    : Item drop success rate, x/100.
// SetItemDropRate : Ancient item drop rate, x/10000.
// ItemDropType    : 0 = fixed option values.
//                   1 = random option values.
// Fireworks       : 0 = Fireworks effect disabled.
//                   1 = Fireworks effect enabled.
// DropInventory   : 0 = Drop Underground.
//                   1 = Add item directly in the inventory.
//==============================================================================================================================
// EventName              DropZen   ItemDropRate   ItemDropCount   SetItemDropRate   ItemDropType   Fireworks   DropInventory
//==============================================================================================================================
   "Box of Luck"          1000      100            1               0                 0              0           0
end

1
//=========================================================================================================
// Item Configuration
//=========================================================================================================
// Skill     : 0 = Skill disabled.
//             1 = Skill enabled.
// Luck      : 0 = Luck disabled.
//             1 = Luck enabled.
//=========================================================================================================
// Section   Type   MinLevel   MaxLevel   Skill   Luck   Option   Excellent   Comment
//=========================================================================================================
   0         6      4          4          0       0      0        0           // 
   0         7      4          4          0       0      0        0           // 
   0         8      4          4          0       0      0        0           // 
   0         9      4          4          0       0      0        0           // 
   0         5      4          4          0       0      0        0           // 
   1         3      4          4          0       0      0        0           // 
   1         4      4          4          0       0      0        0           // 
   1         5      4          4          0       0      0        0           // 
   2         2      4          4          0       0      0        0           // 
   3         6      4          4          0       0      0        0           // 
   3         1      4          4          0       0      0        0           // 
   3         3      4          4          0       0      0        0           // 
   4         2      4          4          0       0      0        0           // 
   4         10     4          4          0       0      0        0           // 
   4         3      4          4          0       0      0        0           // 
   5         1      4          4          0       0      0        0           // 
   5         2      4          4          0       0      0        0           // 
   6         6      4          4          0       0      0        0           // 
   6         10     4          4          0       0      0        0           // 
   6         3      4          4          0       0      0        0           // 
   6         9      4          4          0       0      0        0           // 
   7         0      4          4          0       0      0        0           // 
   7         6      4          4          0       0      0        0           // 
   7         4      4          4          0       0      0        0           // 
   7         11     4          4          0       0      0        0           // 
   8         0      4          4          0       0      0        0           // 
   8         6      4          4          0       0      0        0           // 
   8         4      4          4          0       0      0        0           // 
   8         11     4          4          0       0      0        0           // 
   9         0      4          4          0       0      0        0           // 
   9         6      4          4          0       0      0        0           // 
   9         4      4          4          0       0      0        0           // 
   9         11     4          4          0       0      0        0           // 
   10        0      4          4          0       0      0        0           // 
   10        6      4          4          0       0      0        0           // 
   10        4      4          4          0       0      0        0           // 
   10        11     4          4          0       0      0        0           // 
   11        0      4          4          0       0      0        0           // 
   11        6      4          4          0       0      0        0           // 
   11        4      4          4          0       0      0        0           // 
   11        11     4          4          0       0      0        0           // 
   13        0      0          0          0       0      0        0           // 
   13        1      0          0          0       0      0        0           // 
   13        2      0          0          0       0      0        0           // 
   13        8      0          0          0       0      2        0           // 
   13        9      0          0          0       0      2        0           // 
   13        12     0          0          0       0      2        0           // 
   13        13     0          0          0       0      2        0           // 
   14        13     0          0          0       0      0        0           // 
   14        14     0          0          0       0      0        0           // 
   12        15     0          0          0       0      0        0           // 
end

