0
//==============================================================================================================================
// See in https://www.youtube.com/watch?v=iV_bah59Ahk
//==============================================================================================================================
// Main Configuration
//==============================================================================================================================
// DropZen         : Amount of zen that will be dropped, if item drop fails.
// ItemDropRate    : Item drop success rate, x/100.
// SetItemDropRate : Ancient item drop rate, x/10000.
// ItemDropType    : 0 = fixed option values.
//                   1 = random option values.
// Fireworks       : 0 = Fireworks effect disabled.
//                   1 = Fireworks effect enabled.
// DropInventory   : 0 = Drop Underground.
//                   1 = Add item directly in the inventory.
//==============================================================================================================================
// EventName              DropZen   ItemDropRate   ItemDropCount   SetItemDropRate   ItemDropType   Fireworks   DropInventory
//==============================================================================================================================
   "Star of Christmas"    1000      100            1               0                 0              0           0
end

1
//=========================================================================================================
// Item Configuration
//=========================================================================================================
// Skill     : 0 = Skill disabled.
//             1 = Skill enabled.
// Luck      : 0 = Luck disabled.
//             1 = Luck enabled.
//=========================================================================================================
// Section   Type   MinLevel   MaxLevel   Skill   Luck   Option   Excellent   Comment
//=========================================================================================================
   0         0      3          7          1       1      1        0           // 
   0         2      3          7          1       1      1        0           // 
   0         4      3          7          1       1      1        0           // 
   0         3      3          7          1       1      1        0           // 
   0         10     3          7          1       1      1        0           // 
   0         11     3          7          1       1      1        0           // 
   0         13     3          7          1       1      1        0           // 
   1         1      3          7          1       1      1        0           // 
   1         2      3          7          1       1      1        0           // 
   1         5      3          7          1       1      1        0           // 
   1         6      3          7          1       1      1        0           // 
   1         7      3          7          1       1      1        0           // 
   2         0      3          7          1       1      1        0           // 
   2         1      3          7          1       1      1        0           // 
   2         3      3          7          1       1      1        0           // 
   3         7      3          7          1       1      1        0           // 
   3         4      3          7          1       1      1        0           // 
   4         8      3          7          1       1      1        0           // 
   4         9      3          7          1       1      1        0           // 
   4         11     3          7          1       1      1        0           // 
   4         4      3          7          1       1      1        0           // 
   4         12     3          7          1       1      1        0           // 
   5         0      3          7          1       1      1        0           // 
   5         3      3          7          1       1      1        0           // 
   6         4      3          7          1       1      1        0           // 
   6         1      3          7          1       1      1        0           // 
   6         2      3          7          1       1      1        0           // 
   6         5      3          7          1       1      1        0           // 
   6         8      3          7          1       1      1        0           // 
   6         11     3          7          1       1      1        0           // 
   7         5      3          7          0       1      1        0           // 
   8         5      3          7          0       1      1        0           // 
   9         5      3          7          0       1      1        0           // 
   10        5      3          7          0       1      1        0           // 
   11        5      3          7          0       1      1        0           // 
   7         2      3          7          0       1      1        0           // 
   8         2      3          7          0       1      1        0           // 
   9         2      3          7          0       1      1        0           // 
   10        2      3          7          0       1      1        0           // 
   11        2      3          7          0       1      1        0           // 
   7         0      3          7          0       1      1        0           // 
   8         0      3          7          0       1      1        0           // 
   9         0      3          7          0       1      1        0           // 
   10        0      3          7          0       1      1        0           // 
   11        0      3          7          0       1      1        0           // 
   7         12     3          7          0       1      1        0           // 
   8         12     3          7          0       1      1        0           // 
   9         12     3          7          0       1      1        0           // 
   10        12     3          7          0       1      1        0           // 
   11        12     3          7          0       1      1        0           // 
   7         13     3          7          0       1      1        0           // 
   8         13     3          7          0       1      1        0           // 
   9         13     3          7          0       1      1        0           // 
   10        13     3          7          0       1      1        0           // 
   11        13     3          7          0       1      1        0           // 
   7         7      3          7          0       1      1        0           // 
   8         7      3          7          0       1      1        0           // 
   9         7      3          7          0       1      1        0           // 
   10        7      3          7          0       1      1        0           // 
   11        7      3          7          0       1      1        0           // 
   13        2      0          0          0       0      0        0           // 
   13        8      0          0          0       0      0        0           // 
   13        9      0          0          0       0      0        0           // 
   13        12     0          0          0       0      0        0           // 
   13        13     0          0          0       0      0        0           // 
   14        13     0          0          0       0      0        0           // 
   14        14     0          0          0       0      0        0           // 
   12        15     0          0          0       0      0        0           // 
end

