0
//==============================================================================================================================
// See in https://www.youtube.com/watch?v=iV_bah59Ahk
//==============================================================================================================================
// Main Configuration
//==============================================================================================================================
// DropZen         : Amount of zen that will be dropped, if item drop fails.
// ItemDropRate    : Item drop success rate, x/100.
// SetItemDropRate : Ancient item drop rate, x/10000.
// ItemDropType    : 0 = fixed option values.
//                   1 = random option values.
// Fireworks       : 0 = Fireworks effect disabled.
//                   1 = Fireworks effect enabled.
// DropInventory   : 0 = Drop Underground.
//                   1 = Add item directly in the inventory.
//==============================================================================================================================
// EventName              DropZen   ItemDropRate   ItemDropCount   SetItemDropRate   ItemDropType   Fireworks   DropInventory
//==============================================================================================================================
   "Silver Medal"         1000      100            1               0                 0              0           0
end

1
//=========================================================================================================
// Item Configuration
//=========================================================================================================
// Skill     : 0 = Skill disabled.
//             1 = Skill enabled.
// Luck      : 0 = Luck disabled.
//             1 = Luck enabled.
//=========================================================================================================
// Section   Type   MinLevel   MaxLevel   Skill   Luck   Option   Excellent   Comment
//=========================================================================================================
   0         10     3          3          0       0      0        2           // 
   0         11     3          3          0       0      0        2           // 
   0         13     3          3          0       0      0        2           // 
   1         7      3          3          0       0      0        2           // 
   2         3      3          3          0       0      0        2           // 
   3         0      3          3          0       0      0        2           // 
   3         4      3          3          0       0      0        2           // 
   4         11     3          3          0       0      0        2           // 
   4         3      3          3          0       0      0        2           // 
   5         2      3          3          0       0      0        2           // 
   5         3      3          3          0       0      0        2           // 
   6         6      3          3          0       0      0        2           // 
   6         5      3          3          0       0      0        2           // 
   7         6      3          3          0       0      0        2           // 
   8         6      3          3          0       0      0        2           // 
   9         6      3          3          0       0      0        2           // 
   10        6      3          3          0       0      0        2           // 
   11        6      3          3          0       0      0        2           // 
   7         8      3          3          0       0      0        2           // 
   8         8      3          3          0       0      0        2           // 
   9         8      3          3          0       0      0        2           // 
   10        8      3          3          0       0      0        2           // 
   11        8      3          3          0       0      0        2           // 
   7         4      3          3          0       0      0        2           // 
   8         4      3          3          0       0      0        2           // 
   9         4      3          3          0       0      0        2           // 
   10        4      3          3          0       0      0        2           // 
   11        4      3          3          0       0      0        2           // 
   13        0      0          0          0       0      0        2           // 
   13        1      0          0          0       0      0        2           // 
   13        2      0          0          0       0      0        2           // 
   13        8      0          0          0       0      0        2           // 
   13        9      0          0          0       0      0        2           // 
   13        12     0          0          0       0      0        2           // 
   13        13     0          0          0       0      0        2           // 
   14        13     0          0          0       0      0        2           // 
   14        14     0          0          0       0      0        2           // 
   12        15     0          0          0       0      0        2           // 
end

