0
//==============================================================================================================================
// See in https://www.youtube.com/watch?v=iV_bah59Ahk
//==============================================================================================================================
// Main Configuration
//==============================================================================================================================
// DropZen         : Amount of zen that will be dropped, if item drop fails.
// ItemDropRate    : Item drop success rate, x/100.
// SetItemDropRate : Ancient item drop rate, x/10000.
// ItemDropType    : 0 = fixed option values.
//                   1 = random option values.
// Fireworks       : 0 = Fireworks effect disabled.
//                   1 = Fireworks effect enabled.
// DropInventory   : 0 = Drop Underground.
//                   1 = Add item directly in the inventory.
//==============================================================================================================================
// EventName              DropZen   ItemDropRate   ItemDropCount   SetItemDropRate   ItemDropType   Fireworks   DropInventory
//==============================================================================================================================
   "Gold Medal"           1000      100            1               0                 0              0           0
end

1
//=========================================================================================================
// Item Configuration
//=========================================================================================================
// Skill     : 0 = Skill disabled.
//             1 = Skill enabled.
// Luck      : 0 = Luck disabled.
//             1 = Luck enabled.
//=========================================================================================================
// Section   Type   MinLevel   MaxLevel   Skill   Luck   Option   Excellent   Comment
//=========================================================================================================
   0         15     3          3          0       0      0        3           // 
   0         12     3          3          0       0      0        3           // 
   1         8      3          3          0       0      0        3           // 
   3         8      3          3          0       0      0        3           // 
   4         4      3          3          0       0      0        3           // 
   4         12     3          3          0       0      0        3           // 
   5         4      3          3          0       0      0        3           // 
   6         8      3          3          0       0      0        3           // 
   6         11     3          3          0       0      0        3           // 
   7         9      3          3          0       0      0        3           // 
   8         9      3          3          0       0      0        3           // 
   9         9      3          3          0       0      0        3           // 
   10        9      3          3          0       0      0        3           // 
   11        9      3          3          0       0      0        3           // 
   7         7      3          3          0       0      0        3           // 
   8         7      3          3          0       0      0        3           // 
   9         7      3          3          0       0      0        3           // 
   10        7      3          3          0       0      0        3           // 
   11        7      3          3          0       0      0        3           // 
   7         12     3          3          0       0      0        3           // 
   8         12     3          3          0       0      0        3           // 
   9         12     3          3          0       0      0        3           // 
   10        12     3          3          0       0      0        3           // 
   11        12     3          3          0       0      0        3           // 
   7         13     3          3          0       0      0        3           // 
   8         13     3          3          0       0      0        3           // 
   9         13     3          3          0       0      0        3           // 
   10        13     3          3          0       0      0        3           // 
   11        13     3          3          0       0      0        3           // 
   13        0      0          0          0       0      0        3           // 
   13        1      0          0          0       0      0        3           // 
   13        2      0          0          0       0      0        3           // 
   13        8      0          0          0       0      0        3           // 
   13        9      0          0          0       0      0        3           // 
   13        12     0          0          0       0      0        3           // 
   13        13     0          0          0       0      0        3           // 
   14        13     0          0          0       0      0        3           // 
   14        14     0          0          0       0      0        3           // 
   12        15     0          0          0       0      0        3           // 
end

