0
//==============================================================================================================================
// See in https://www.youtube.com/watch?v=iV_bah59Ahk
//==============================================================================================================================
// Main Configuration
//==============================================================================================================================
// DropZen         : Amount of zen that will be dropped, if item drop fails.
// ItemDropRate    : Item drop success rate, x/100.
// SetItemDropRate : Ancient item drop rate, x/10000.
// ItemDropType    : 0 = fixed option values.
//                   1 = random option values.
// Fireworks       : 0 = Fireworks effect disabled.
//                   1 = Fireworks effect enabled.
// DropInventory   : 0 = Drop Underground.
//                   1 = Add item directly in the inventory.
//==============================================================================================================================
// EventName              DropZen   ItemDropRate   ItemDropCount   SetItemDropRate   ItemDropType   Fireworks   DropInventory
//==============================================================================================================================
   "Blue Heart"           1000      100            1               0                 0              0           0
end

1
//=========================================================================================================
// Item Configuration
//=========================================================================================================
// Skill     : 0 = Skill disabled.
//             1 = Skill enabled.
// Luck      : 0 = Luck disabled.
//             1 = Luck enabled.
//=========================================================================================================
// Section   Type   MinLevel   MaxLevel   Skill   Luck   Option   Excellent   Comment
//=========================================================================================================
   7         5      7          8          0       0      0        2           // 
   8         5      7          8          0       0      0        2           // 
   9         5      7          8          0       0      0        2           // 
   10        5      7          8          0       0      0        2           // 
   11        5      7          8          0       0      0        2           // 
   7         0      7          8          0       0      0        2           // 
   8         0      7          8          0       0      0        2           // 
   9         0      7          8          0       0      0        2           // 
   10        0      7          8          0       0      0        2           // 
   11        0      7          8          0       0      0        2           // 
   7         6      7          8          0       0      0        2           // 
   8         6      7          8          0       0      0        2           // 
   9         6      7          8          0       0      0        2           // 
   10        6      7          8          0       0      0        2           // 
   11        6      7          8          0       0      0        2           // 
   7         8      7          8          0       0      0        2           // 
   8         8      7          8          0       0      0        2           // 
   9         8      7          8          0       0      0        2           // 
   10        8      7          8          0       0      0        2           // 
   11        8      7          8          0       0      0        2           // 
   0         3      5          6          0       0      0        2           // 
   0         5      5          6          0       0      0        2           // 
   0         15     5          6          0       0      0        2           // 
   7         2      7          8          0       0      0        2           // 
   8         2      7          8          0       0      0        2           // 
   9         2      7          8          0       0      0        2           // 
   10        2      7          8          0       0      0        2           // 
   11        2      7          8          0       0      0        2           // 
   7         4      7          8          0       0      0        2           // 
   8         4      7          8          0       0      0        2           // 
   9         4      7          8          0       0      0        2           // 
   10        4      7          8          0       0      0        2           // 
   11        4      7          8          0       0      0        2           // 
   7         7      7          8          0       0      0        2           // 
   8         7      7          8          0       0      0        2           // 
   9         7      7          8          0       0      0        2           // 
   10        7      7          8          0       0      0        2           // 
   11        7      7          8          0       0      0        2           // 
   5         0      5          6          0       0      0        2           // 
   5         1      5          6          0       0      0        2           // 
   5         2      5          6          0       0      0        2           // 
   5         3      5          6          0       0      0        2           // 
   7         10     7          8          0       0      0        2           // 
   8         10     7          8          0       0      0        2           // 
   9         10     7          8          0       0      0        2           // 
   10        10     7          8          0       0      0        2           // 
   11        10     7          8          0       0      0        2           // 
   7         11     7          8          0       0      0        2           // 
   8         11     7          8          0       0      0        2           // 
   9         11     7          8          0       0      0        2           // 
   10        11     7          8          0       0      0        2           // 
   11        11     7          8          0       0      0        2           // 
   7         12     7          8          0       0      0        2           // 
   8         12     7          8          0       0      0        2           // 
   9         12     7          8          0       0      0        2           // 
   10        12     7          8          0       0      0        2           // 
   11        12     7          8          0       0      0        2           // 
   4         2      5          6          0       0      0        2           // 
   4         3      5          6          0       0      0        2           // 
   4         4      5          6          0       0      0        2           // 
   4         5      5          6          0       0      0        2           // 
   7         25     7          8          0       0      0        2           // 
   8         25     7          8          0       0      0        2           // 
   9         25     7          8          0       0      0        2           // 
   10        25     7          8          0       0      0        2           // 
   11        25     7          8          0       0      0        2           // 
   2         8      5          6          0       0      0        2           // 
end

