0
//==============================================================================================================================
// See in https://www.youtube.com/watch?v=iV_bah59Ahk
//==============================================================================================================================
// Main Configuration
//==============================================================================================================================
// DropZen         : Amount of zen that will be dropped, if item drop fails.
// ItemDropRate    : Item drop success rate, x/100.
// SetItemDropRate : Ancient item drop rate, x/10000.
// ItemDropType    : 0 = fixed option values.
//                   1 = random option values.
// Fireworks       : 0 = Fireworks effect disabled.
//                   1 = Fireworks effect enabled.
// DropInventory   : 0 = Drop Underground.
//                   1 = Add item directly in the inventory.
//==============================================================================================================================
// EventName              DropZen   ItemDropRate   ItemDropCount   SetItemDropRate   ItemDropType   Fireworks   DropInventory
//==============================================================================================================================
   "Red Ribbon Box"       1000      100            1               0                 0              0           0
end

1
//=========================================================================================================
// Item Configuration
//=========================================================================================================
// Skill     : 0 = Skill disabled.
//             1 = Skill enabled.
// Luck      : 0 = Luck disabled.
//             1 = Luck enabled.
//=========================================================================================================
// Section   Type   MinLevel   MaxLevel   Skill   Luck   Option   Excellent   Comment
//=========================================================================================================
   0         3      7          9          1       1      1        0           // 
   0         5      7          9          1       1      1        0           // 
   0         11     7          9          1       1      1        0           // 
   1         3      7          9          1       1      1        0           // 
   2         1      7          9          1       1      1        0           // 
   4         9      7          9          1       1      1        0           // 
   4         11     7          9          1       1      1        0           // 
   5         0      7          9          1       1      1        0           // 
   5         2      7          9          1       1      1        0           // 
   7         5      7          9          0       1      1        0           // 
   8         5      7          9          0       1      1        0           // 
   9         5      7          9          0       1      1        0           // 
   10        5      7          9          0       1      1        0           // 
   11        5      7          9          0       1      1        0           // 
   7         10     7          9          0       1      1        0           // 
   8         10     7          9          0       1      1        0           // 
   9         10     7          9          0       1      1        0           // 
   10        10     7          9          0       1      1        0           // 
   11        10     7          9          0       1      1        0           // 
   7         2      7          9          0       1      1        0           // 
   8         2      7          9          0       1      1        0           // 
   9         2      7          9          0       1      1        0           // 
   10        2      7          9          0       1      1        0           // 
   11        2      7          9          0       1      1        0           // 
   7         6      6          8          0       1      1        0           // 
   8         6      6          8          0       1      1        0           // 
   9         6      6          8          0       1      1        0           // 
   10        6      6          8          0       1      1        0           // 
   11        6      6          8          0       1      1        0           // 
   7         11     6          8          0       1      1        0           // 
   8         11     6          8          0       1      1        0           // 
   9         11     6          8          0       1      1        0           // 
   10        11     6          8          0       1      1        0           // 
   11        11     6          8          0       1      1        0           // 
   7         4      6          8          0       1      1        0           // 
   8         4      6          8          0       1      1        0           // 
   9         4      6          8          0       1      1        0           // 
   10        4      6          8          0       1      1        0           // 
   11        4      6          8          0       1      1        0           // 
   7         25     6          8          0       1      1        0           // 
   8         25     6          8          0       1      1        0           // 
   9         25     6          8          0       1      1        0           // 
   10        25     6          8          0       1      1        0           // 
   11        25     6          8          0       1      1        0           // 
   6         9      7          9          1       1      1        0           // 
   6         3      7          9          1       1      1        0           // 
   6         6      7          9          1       1      1        0           // 
end

