0
//==============================================================================================================================
// See in https://www.youtube.com/watch?v=iV_bah59Ahk
//==============================================================================================================================
// Main Configuration
//==============================================================================================================================
// DropZen         : Amount of zen that will be dropped, if item drop fails.
// ItemDropRate    : Item drop success rate, x/100.
// SetItemDropRate : Ancient item drop rate, x/10000.
// ItemDropType    : 0 = fixed option values.
//                   1 = random option values.
// Fireworks       : 0 = Fireworks effect disabled.
//                   1 = Fireworks effect enabled.
// DropInventory   : 0 = Drop Underground.
//                   1 = Add item directly in the inventory.
//==============================================================================================================================
// EventName              DropZen   ItemDropRate   ItemDropCount   SetItemDropRate   ItemDropType   Fireworks   DropInventory
//==============================================================================================================================
   "Skeleton King"        1000      100            1               0                 0              0           0
end

1
//=========================================================================================================
// Item Configuration
//=========================================================================================================
// Skill     : 0 = Skill disabled.
//             1 = Skill enabled.
// Luck      : 0 = Luck disabled.
//             1 = Luck enabled.
//=========================================================================================================
// Section   Type   MinLevel   MaxLevel   Skill   Luck   Option   Excellent   Comment
//=========================================================================================================
   0         0      5          5          0       0      0        0           // 
   0         2      5          5          0       0      0        0           // 
   0         4      5          5          0       0      0        0           // 
   0         3      5          5          0       0      0        0           // 
   1         1      5          5          0       0      0        0           // 
   1         2      5          5          0       0      0        0           // 
   2         0      5          5          0       0      0        0           // 
   2         1      5          5          0       0      0        0           // 
   3         2      5          5          0       0      0        0           // 
   4         8      5          5          0       0      0        0           // 
   4         1      5          5          0       0      0        0           // 
   4         9      5          5          0       0      0        0           // 
   5         0      5          5          0       0      0        0           // 
   6         4      5          5          0       0      0        0           // 
   6         1      5          5          0       0      0        0           // 
   6         2      5          5          0       0      0        0           // 
   7         5      5          5          0       0      0        0           // 
   7         2      5          5          0       0      0        0           // 
   7         10     5          5          0       0      0        0           // 
   8         5      5          5          0       0      0        0           // 
   8         2      5          5          0       0      0        0           // 
   8         10     5          5          0       0      0        0           // 
   9         5      5          5          0       0      0        0           // 
   9         2      5          5          0       0      0        0           // 
   9         10     5          5          0       0      0        0           // 
   10        5      5          5          0       0      0        0           // 
   10        2      5          5          0       0      0        0           // 
   10        10     5          5          0       0      0        0           // 
   11        5      5          5          0       0      0        0           // 
   11        2      5          5          0       0      0        0           // 
   11        10     5          5          0       0      0        0           // 
   13        0      0          0          0       0      0        0           // 
   13        1      0          0          0       0      0        0           // 
   13        2      0          0          0       0      0        0           // 
   13        8      0          0          0       0      2        0           // 
   13        9      0          0          0       0      2        0           // 
   13        12     0          0          0       0      2        0           // 
   13        13     0          0          0       0      2        0           // 
   14        13     0          0          0       0      0        0           // 
   14        14     0          0          0       0      0        0           // 
   12        15     0          0          0       0      0        0           // 
end

