0
//==============================================================================================================================
// See in https://www.youtube.com/watch?v=iV_bah59Ahk
//==============================================================================================================================
// Main Configuration
//==============================================================================================================================
// DropZen         : Amount of zen that will be dropped, if item drop fails.
// ItemDropRate    : Item drop success rate, x/100.
// SetItemDropRate : Ancient item drop rate, x/10000.
// ItemDropType    : 0 = fixed option values.
//                   1 = random option values.
// Fireworks       : 0 = Fireworks effect disabled.
//                   1 = Fireworks effect enabled.
// DropInventory   : 0 = Drop Underground.
//                   1 = Add item directly in the inventory.
//==============================================================================================================================
// EventName              DropZen   ItemDropRate   ItemDropCount   SetItemDropRate   ItemDropType   Fireworks   DropInventory
//==============================================================================================================================
   "Dark Elf"             1000      100            1               0                 0              0           0
end

1
//=========================================================================================================
// Item Configuration
//=========================================================================================================
// Skill     : 0 = Skill disabled.
//             1 = Skill enabled.
// Luck      : 0 = Luck disabled.
//             1 = Luck enabled.
//=========================================================================================================
// Section   Type   MinLevel   MaxLevel   Skill   Luck   Option   Excellent   Comment
//=========================================================================================================
   0         17     3          5          1       1      1        3           // 
   0         18     3          5          1       1      1        3           // 
   2         12     3          5          1       1      1        3           // 
   4         19     3          5          1       1      1        3           // 
   5         9      3          5          1       1      1        3           // 
   6         13     3          5          1       1      1        3           // 
   6         16     3          5          1       1      1        3           // 
   5         6      0          0          1       1      1        3           // 
   2         4      0          0          1       1      1        3           // 
   2         9      0          0          1       1      1        3           // 
   4         14     0          0          1       1      1        3           // 
   2         5      0          0          1       1      1        3           // 
   7         1      0          0          0       1      1        3           // 
   7         3      0          0          0       1      1        3           // 
   7         14     0          0          0       1      1        3           // 
   8         1      0          0          0       1      1        3           // 
   8         3      0          0          0       1      1        3           // 
   8         14     0          0          0       1      1        3           // 
   9         1      0          0          0       1      1        3           // 
   9         3      0          0          0       1      1        3           // 
   9         14     0          0          0       1      1        3           // 
   10        1      0          0          0       1      1        3           // 
   10        3      0          0          0       1      1        3           // 
   10        14     0          0          0       1      1        3           // 
   11        1      0          0          0       1      1        3           // 
   11        3      0          0          0       1      1        3           // 
   11        14     0          0          0       1      1        3           // 
   13        36     0          0          0       0      0        3           // 
   13        18     4          6          0       0      0        3           // 
   14        19     4          5          0       0      0        3           // 
   14        28     4          6          0       0      0        3           // 
end

