0
//==============================================================================================================================
// See in https://www.youtube.com/watch?v=iV_bah59Ahk
//==============================================================================================================================
// Main Configuration
//==============================================================================================================================
// DropZen         : Amount of zen that will be dropped, if item drop fails.
// ItemDropRate    : Item drop success rate, x/100.
// SetItemDropRate : Ancient item drop rate, x/10000.
// ItemDropType    : 0 = fixed option values.
//                   1 = random option values.
// Fireworks       : 0 = Fireworks effect disabled.
//                   1 = Fireworks effect enabled.
// DropInventory   : 0 = Drop Underground.
//                   1 = Add item directly in the inventory.
//==============================================================================================================================
// EventName              DropZen   ItemDropRate   ItemDropCount   SetItemDropRate   ItemDropType   Fireworks   DropInventory
//==============================================================================================================================
   "Balgass"              1000      100            1               0                 0              0           0
end

1
//=========================================================================================================
// Item Configuration
//=========================================================================================================
// Skill     : 0 = Skill disabled.
//             1 = Skill enabled.
// Luck      : 0 = Luck disabled.
//             1 = Luck enabled.
//=========================================================================================================
// Section   Type   MinLevel   MaxLevel   Skill   Luck   Option   Excellent   Comment
//=========================================================================================================
   0         16     0          0          1       1      1        3           // 
   2         10     0          0          1       1      1        3           // 
   3         10     0          0          1       1      1        3           // 
   4         16     0          0          1       1      1        3           // 
   4         17     0          0          1       1      1        3           // 
   5         8      0          0          1       1      1        3           // 
   5         9      0          0          1       1      1        3           // 
   7         21     3          5          0       1      1        3           // 
   7         22     3          5          0       1      1        3           // 
   7         24     3          5          0       1      1        3           // 
   7         28     3          5          0       1      1        3           // 
   8         21     3          5          0       1      1        3           // 
   8         22     3          5          0       1      1        3           // 
   8         23     3          5          0       1      1        3           // 
   8         24     3          5          0       1      1        3           // 
   8         28     3          5          0       1      1        3           // 
   9         21     3          5          0       1      1        3           // 
   9         22     3          5          0       1      1        3           // 
   9         23     3          5          0       1      1        3           // 
   9         24     3          5          0       1      1        3           // 
   9         28     3          5          0       1      1        3           // 
   10        21     3          5          0       1      1        3           // 
   10        22     3          5          0       1      1        3           // 
   10        23     3          5          0       1      1        3           // 
   10        24     3          5          0       1      1        3           // 
   10        28     3          5          0       1      1        3           // 
   11        21     3          5          0       1      1        3           // 
   11        22     3          5          0       1      1        3           // 
   11        23     3          5          0       1      1        3           // 
   11        24     3          5          0       1      1        3           // 
   11        28     3          5          0       1      1        3           // 
   7         16     0          0          0       1      1        3           // 
   7         18     0          0          0       1      1        3           // 
   7         19     0          0          0       1      1        3           // 
   7         27     0          0          0       1      1        3           // 
   8         16     0          0          0       1      1        3           // 
   8         18     0          0          0       1      1        3           // 
   8         19     0          0          0       1      1        3           // 
   8         27     0          0          0       1      1        3           // 
   8         20     0          0          0       1      1        3           // 
   9         16     0          0          0       1      1        3           // 
   9         18     0          0          0       1      1        3           // 
   9         19     0          0          0       1      1        3           // 
   9         27     0          0          0       1      1        3           // 
   9         20     0          0          0       1      1        3           // 
   10        16     0          0          0       1      1        3           // 
   10        18     0          0          0       1      1        3           // 
   10        19     0          0          0       1      1        3           // 
   10        27     0          0          0       1      1        3           // 
   10        20     0          0          0       1      1        3           // 
   11        16     0          0          0       1      1        3           // 
   11        18     0          0          0       1      1        3           // 
   11        19     0          0          0       1      1        3           // 
   11        27     0          0          0       1      1        3           // 
   11        20     0          0          0       1      1        3           // 
end

