0
//==============================================================================================================================
// See in https://www.youtube.com/watch?v=iV_bah59Ahk
//==============================================================================================================================
// Main Configuration
//==============================================================================================================================
// DropZen         : Amount of zen that will be dropped, if item drop fails.
// ItemDropRate    : Item drop success rate, x/100.
// SetItemDropRate : Ancient item drop rate, x/10000.
// ItemDropType    : 0 = fixed option values.
//                   1 = random option values.
// Fireworks       : 0 = Fireworks effect disabled.
//                   1 = Fireworks effect enabled.
// DropInventory   : 0 = Drop Underground.
//                   1 = Add item directly in the inventory.
//==============================================================================================================================
// EventName              DropZen   ItemDropRate   ItemDropCount   SetItemDropRate   ItemDropType   Fireworks   DropInventory
//==============================================================================================================================
   "Leo The Helper"       1000      100            3               0                 0              1           0
end

1
//=========================================================================================================
// Item Configuration
//=========================================================================================================
// Skill     : 0 = Skill disabled.
//             1 = Skill enabled.
// Luck      : 0 = Luck disabled.
//             1 = Luck enabled.
//=========================================================================================================
// Section   Type   MinLevel   MaxLevel   Skill   Luck   Option   Excellent   Comment
//=========================================================================================================
   0         3      6          9          1       1      1        2           // 
   0         5      6          9          1       1      1        2           // 
   0         9      6          9          1       1      1        2           // 
   0         10     6          9          1       1      1        2           // 
   0         13     6          9          1       1      1        2           // 
   3         8      6          9          1       1      1        2           // 
   4         4      6          9          1       1      1        2           // 
   4         9      6          9          1       1      1        2           // 
   4         11     6          9          1       1      1        2           // 
   4         5      6          9          1       1      1        2           // 
   4         12     6          9          1       1      1        2           // 
   5         0      6          9          1       1      1        2           // 
   5         2      6          9          1       1      1        2           // 
   5         3      6          9          1       1      1        2           // 
   5         4      6          9          1       1      1        2           // 
   7         0      6          9          1       1      1        2           // 
   7         2      6          9          1       1      1        2           // 
   7         4      6          9          1       1      1        2           // 
   7         5      6          9          1       1      1        2           // 
   7         6      6          9          1       1      1        2           // 
   7         7      6          9          1       1      1        2           // 
   7         8      6          9          1       1      1        2           // 
   7         10     6          9          1       1      1        2           // 
   7         11     6          9          1       1      1        2           // 
   7         12     6          9          1       1      1        2           // 
   8         0      6          9          1       1      1        2           // 
   8         2      6          9          1       1      1        2           // 
   8         4      6          9          1       1      1        2           // 
   8         5      6          9          1       1      1        2           // 
   8         6      6          9          1       1      1        2           // 
   8         7      6          9          1       1      1        2           // 
   8         8      6          9          1       1      1        2           // 
   8         10     6          9          1       1      1        2           // 
   8         11     6          9          1       1      1        2           // 
   8         12     6          9          1       1      1        2           // 
   9         0      6          9          1       1      1        2           // 
   9         2      6          9          1       1      1        2           // 
   9         4      6          9          1       1      1        2           // 
   9         5      6          9          1       1      1        2           // 
   9         6      6          9          1       1      1        2           // 
   9         7      6          9          1       1      1        2           // 
   9         8      6          9          1       1      1        2           // 
   9         10     6          9          1       1      1        2           // 
   9         11     6          9          1       1      1        2           // 
   9         12     6          9          1       1      1        2           // 
   10        0      6          9          1       1      1        2           // 
   10        2      6          9          1       1      1        2           // 
   10        4      6          9          1       1      1        2           // 
   10        5      6          9          1       1      1        2           // 
   10        6      6          9          1       1      1        2           // 
   10        7      6          9          1       1      1        2           // 
   10        8      6          9          1       1      1        2           // 
   10        10     6          9          1       1      1        2           // 
   10        11     6          9          1       1      1        2           // 
   10        12     6          9          1       1      1        2           // 
   11        0      6          9          1       1      1        2           // 
   11        2      6          9          1       1      1        2           // 
   11        4      6          9          1       1      1        2           // 
   11        5      6          9          1       1      1        2           // 
   11        6      6          9          1       1      1        2           // 
   11        7      6          9          1       1      1        2           // 
   11        8      6          9          1       1      1        2           // 
   11        10     6          9          1       1      1        2           // 
   11        11     6          9          1       1      1        2           // 
   11        12     6          9          1       1      1        2           // 
end

