0
//==============================================================================================================================
// See in https://www.youtube.com/watch?v=iV_bah59Ahk
//==============================================================================================================================
// Main Configuration
//==============================================================================================================================
// DropZen         : Amount of zen that will be dropped, if item drop fails.
// ItemDropRate    : Item drop success rate, x/100.
// SetItemDropRate : Ancient item drop rate, x/10000.
// ItemDropType    : 0 = fixed option values.
//                   1 = random option values.
// Fireworks       : 0 = Fireworks effect disabled.
//                   1 = Fireworks effect enabled.
// DropInventory   : 0 = Drop Underground.
//                   1 = Add item directly in the inventory.
//==============================================================================================================================
// EventName              DropZen   ItemDropRate   ItemDropCount   SetItemDropRate   ItemDropType   Fireworks   DropInventory
//==============================================================================================================================
   "Battle Royale"        1000      100            1               0                 0              0           0
end

1
//=========================================================================================================
// Item Configuration
//=========================================================================================================
// Skill     : 0 = Skill disabled.
//             1 = Skill enabled.
// Luck      : 0 = Luck disabled.
//             1 = Luck enabled.
//=========================================================================================================
// Section   Type   MinLevel   MaxLevel   Skill   Luck   Option   Excellent   Comment
//=========================================================================================================
   15        0      0          0          0       0      0        0           // 
   15        1      0          0          0       0      0        0           // 
   15        2      0          0          0       0      0        0           // 
   15        3      0          0          0       0      0        0           // 
   15        4      0          0          0       0      0        0           // 
   15        5      0          0          0       0      0        0           // 
   0         1      0          10         0       0      0        0           // 
   0         2      0          10         0       0      0        0           // 
   0         3      0          10         0       0      0        0           // 
   0         4      0          10         0       0      0        0           // 
   0         5      0          10         0       0      0        0           // 
   0         6      0          10         0       0      0        0           // 
   0         6      0          10         0       0      0        0           // 
   4         1      0          10         0       0      0        0           // 
   4         2      0          10         0       0      0        0           // 
   4         3      0          10         0       0      0        0           // 
   4         4      0          10         0       0      0        0           // 
   4         5      0          10         0       0      0        0           // 
   5         1      0          10         0       0      0        0           // 
   5         2      0          10         0       0      0        0           // 
   5         3      0          10         0       0      0        0           // 
   5         4      0          10         0       0      0        0           // 
   5         5      0          10         0       0      0        0           // 
   6         1      0          10         0       0      0        0           // 
   6         2      0          10         0       0      0        0           // 
   6         3      0          10         0       0      0        0           // 
   6         4      0          10         0       0      0        0           // 
   6         5      0          10         0       0      0        0           // 
   13        0      0          0          0       0      0        0           // 
   13        1      0          0          0       0      0        0           // 
   13        2      0          0          0       0      0        0           // 
   14        3      0          0          0       0      0        0           // 
end

