//==========================================================================================================================
// [Ref: 380ItemOption.txt]        [Index]        [FixValue]     [Index]        [FixValue]
//==========================================================================================================================
// Section          Type           OptionIndex1   OptionValue1   OptionIndex2   OptionValue2   Comment
//==========================================================================================================================
   0                22             2              *              1              *              // Bone Blade
   0                23             2              *              1              *              // Explosion Blade
   0                35             2              *              1              *              // Phoenix Soul Star
   2                14             2              *              1              *              // Soleil Sceptor
   4                21             2              *              1              *              // Sylph Wind Bow
   5                12             2              *              1              *              // Grand Viper Staff
   5                19             2              *              1              *              // Storm Blitz Stick
   7                29             8              *              3              *              // Dragon Knight Helm
   7                30             8              *              3              *              // Venom Mist Helm
   7                31             8              *              3              *              // Sylphid Ray Helm
   7                33             8              *              3              *              // Sunlight Mask
   7                43             8              *              3              *              // Storm Blitz Helm
   7                73             8              *              3              *              // Phoenix Soul Helmet
   8                29             7              *              3              *              // Dragon Knight Armor
   8                30             7              *              3              *              // Venom Mist Armor
   8                31             7              *              3              *              // Sylphid Ray Armor
   8                32             7              *              3              *              // Volcano Armor
   8                33             7              *              3              *              // Sunlight Armor
   8                43             7              *              3              *              // Storm Blitz Armor
   8                73             7              *              3              *              // Phoenix Soul Armor
   9                29             4              *              3              *              // Dragon Knight Pants
   9                30             4              *              3              *              // Venom Mist Pants
   9                31             4              *              3              *              // Sylphid Ray Pants
   9                32             4              *              3              *              // Volcano Pants
   9                33             4              *              3              *              // Sunlight Pants
   9                43             4              *              3              *              // Storm Blitz Pants
   9                73             4              *              3              *              // Phoenix Soul Pants
   10               29             5              *              3              *              // Dragon Knight Gloves
   10               30             5              *              3              *              // Venom Mist Gloves
   10               31             5              *              3              *              // Sylphid Ray Gloves 
   10               32             5              *              3              *              // Volcano Gloves
   10               33             5              *              3              *              // Sunlight Gloves
   10               43             5              *              3              *              // Storm Blitz Gloves
   11               29             6              *              3              *              // Dragon Knight Boots
   11               30             6              *              3              *              // Venom Mist Boots
   11               31             6              *              3              *              // Sylphid Ray Boots
   11               32             6              *              3              *              // Volcano Boots
   11               33             6              *              3              *              // Sunlight Boots
   11               43             6              *              3              *              // Storm Blitz Boots
   11               73             6              *              3              *              // Phoenix Soul Boots
end
