0
//=============================================================================================================================
// NPC Location or Traps in City
//=============================================================================================================================
// Range:       [0~N]          [0~30]    [1~255]        [1~255]        [-1/0~8]
// Monster      MapNumber      Range     PositionX      PositionY      Direction      Comment
//=============================================================================================================================
   371          1              0         95             103            2              // Elite Soldier
end


0
//=============================================================================================================================
// NPC Location or Traps in City
//=============================================================================================================================
// Range:       [0~N]          [0~30]    [1~255]        [1~255]        [-1/0~8]
// Monster      MapNumber      Range     PositionX      PositionY      Direction      Comment
//=============================================================================================================================
   100          1              0         117            99             1              // Lance
   100          1              0         120            99             1              // Lance
   100          1              0         123            99             1              // Lance
   100          1              0         126            99             1              // Lance
   100          1              0         136            95             1              // Lance
   100          1              0         139            95             1              // Lance
   100          1              0         166            12             1              // Lance
   100          1              0         172            12             1              // Lance
   100          1              0         177            103            1              // Lance
   100          1              0         178            12             1              // Lance
   100          1              0         180            103            1              // Lance
   100          1              0         183            103            1              // Lance
   100          1              0         186            103            1              // Lance
   100          1              0         186            151            3              // Lance
   100          1              0         189            103            1              // Lance
   100          1              0         193            33             1              // Lance
   100          1              0         196            33             1              // Lance
   100          1              0         198            130            1              // Lance
   100          1              0         202            93             1              // Lance
   100          1              0         202            150            1              // Lance
   100          1              0         205            93             1              // Lance
   100          1              0         227            61             1              // Lance
   100          1              0         229            93             1              // Lance
   100          1              0         232            37             3              // Lance
   100          1              0         232            40             3              // Lance
   100          1              0         232            46             3              // Lance
   100          1              0         232            93             1              // Lance
   101          1              0         10             26             1              // Iron Stick
   101          1              0         11             26             1              // Iron Stick
   101          1              0         19             19             1              // Iron Stick
   101          1              0         22             24             1              // Iron Stick
   101          1              0         23             24             1              // Iron Stick
   101          1              0         23             28             1              // Iron Stick
   101          1              0         23             29             1              // Iron Stick
   101          1              0         24             4              1              // Iron Stick
   101          1              0         24             5              1              // Iron Stick
   101          1              0         27             11             1              // Iron Stick
   101          1              0         27             12             1              // Iron Stick
   101          1              0         27             21             1              // Iron Stick
   101          1              0         33             9              1              // Iron Stick
   101          1              0         35             9              1              // Iron Stick
   101          1              0         39             16             1              // Iron Stick
   101          1              0         39             17             1              // Iron Stick
   101          1              0         39             18             1              // Iron Stick
   101          1              0         48             193            1              // Iron Stick
   101          1              0         49             193            1              // Iron Stick
   101          1              0         90             164            1              // Iron Stick
   101          1              0         91             164            1              // Iron Stick
   101          1              0         92             164            1              // Iron Stick
   101          1              0         128            212            1              // Iron Stick
   101          1              0         130            213            1              // Iron Stick
   101          1              0         143            214            1              // Iron Stick
   101          1              0         155            230            5              // Iron Stick
   102          1              0         45             224            3              // Fire
   102          1              0         66             71             3              // Fire
   102          1              0         80             61             1              // Fire
   102          1              0         169            12             1              // Fire
   102          1              0         175            12             1              // Fire
end


2
//=============================================================================================================================
// Monster or Traps Fixed Location
//=============================================================================================================================
// Range:       [0~N]          [0~30]     [1~255]        [1~255]        [-1/0~8]       [1~1000]
// Monster      MapNumber      Range      PositionX      PositionY      Direction      Comment
//=============================================================================================================================
   5            1              30        65             127            -1             // Hell Hound
   5            1              30        69             88             -1             // Hell Hound
   5            1              30        70             76             -1             // Hell Hound
   5            1              30        71             53             -1             // Hell Hound
   5            1              30        81             58             -1             // Hell Hound
   5            1              30        87             114            -1             // Hell Hound
   5            1              30        98             111            -1             // Hell Hound
   5            1              30        120            75             -1             // Hell Hound
   5            1              30        123            120            -1             // Hell Hound
   5            1              30        138            86             -1             // Hell Hound
   5            1              30        145            118            -1             // Hell Hound
   5            1              30        163            114            -1             // Hell Hound
   5            1              30        163            125            -1             // Hell Hound
   5            1              30        170            126            -1             // Hell Hound
   8            1              30        2              78             -1             // Poison Bull Fighter
   8            1              30        4              73             -1             // Poison Bull Fighter
   8            1              30        12             56             -1             // Poison Bull Fighter
   8            1              30        12             97             -1             // Poison Bull Fighter
   8            1              30        15             113            -1             // Poison Bull Fighter
   8            1              30        16             55             -1             // Poison Bull Fighter
   8            1              30        21             82             -1             // Poison Bull Fighter
   8            1              30        25             100            -1             // Poison Bull Fighter
   8            1              30        26             111            -1             // Poison Bull Fighter
   8            1              30        35             55             -1             // Poison Bull Fighter
   8            1              30        39             112            -1             // Poison Bull Fighter
   8            1              30        42             122            -1             // Poison Bull Fighter
   8            1              30        44             56             -1             // Poison Bull Fighter
   8            1              30        50             123            -1             // Poison Bull Fighter
   8            1              30        116            47             -1             // Poison Bull Fighter
   8            1              30        119            47             -1             // Poison Bull Fighter
   8            1              30        122            46             -1             // Poison Bull Fighter
   8            1              30        158            17             -1             // Poison Bull Fighter
   8            1              30        187            15             -1             // Poison Bull Fighter
   8            1              30        193            30             -1             // Poison Bull Fighter
   8            1              30        205            24             -1             // Poison Bull Fighter
   9            1              30        10             68             -1             // Thunder Lich
   9            1              30        12             121            -1             // Thunder Lich
   9            1              30        18             23             -1             // Thunder Lich
   9            1              30        18             29             -1             // Thunder Lich
   9            1              30        22             4              -1             // Thunder Lich
   9            1              30        22             90             -1             // Thunder Lich
   9            1              30        27             53             -1             // Thunder Lich
   9            1              30        28             18             -1             // Thunder Lich
   9            1              30        30             105            -1             // Thunder Lich
   9            1              30        33             78             -1             // Thunder Lich
   9            1              30        33             90             -1             // Thunder Lich
   9            1              30        34             4              -1             // Thunder Lich
   9            1              30        38             23             -1             // Thunder Lich
   9            1              30        42             117            -1             // Thunder Lich
   9            1              30        118            11             -1             // Thunder Lich
   9            1              30        160            10             -1             // Thunder Lich
   9            1              30        194            18             -1             // Thunder Lich
   9            1              30        213            12             -1             // Thunder Lich
   9            1              30        221            14             -1             // Thunder Lich
   9            1              30        233            66             -1             // Thunder Lich
   9            1              30        243            16             -1             // Thunder Lich
   10           1              30        14             107            -1             // Dark Knight
   10           1              30        19             120            -1             // Dark Knight
   10           1              30        22             65             -1             // Dark Knight
   10           1              30        29             66             -1             // Dark Knight
   10           1              30        37             98             -1             // Dark Knight
   10           1              30        39             77             -1             // Dark Knight
   10           1              30        41             88             -1             // Dark Knight
   11           1              30        44             162            -1             // Ghost
