0
//=============================================================================================================================
// NPC Location or Traps in City
//=============================================================================================================================
// Range:       [0~N]          [0~30]    [1~255]        [1~255]        [-1/0~8]
// Monster      MapNumber      Range     PositionX      PositionY      Direction      Comment
//=============================================================================================================================
   237          3              0         171            105            3              // NPC_Charon
   238          3              0         180            103            1              // NPC_ChaosGoblin
   240          3              0         172            96             3              // NPC_Valut_Guard
   242          3              0         173            125            1              // NPC_Elflala
   243          3              0         195            124            2              // NPC_CraftsMan
   257          3              0         166            85             2              // Shadow Phantom Soldier
   257          3              0         167            118            1              // Shadow Phantom Soldier
   257          3              0         200            128            2              // Shadow Phantom Soldier
   450          3              0         179            126            1              // Governor Blossom
   451          3              0         179            129            3              // Blossoms Tree
   544          3              0         166            99             3              // Gens Vanert Steward
   580          3              0         196            113            2              // Captain Slough (Acheron Entrance NPC)
end


1
//===============================================================================================================================================================
// Monster Spot Location
//===============================================================================================================================================================
// Range:       [0~N]          [0~30]     [1~255]        [1~255]        [1~255]      [1~255]      [-1/0~8]       [1~1000]
// Monster      MapNumber      Range      BeginPosX      BeginPosY      EndPosX      EndPosY      Direction      Quantity      Comment
//===============================================================================================================================================================
   3            3              30        139            63             247            164            -1             60            // Spider
   26           3              30        109            46             154            181            -1             10            // Goblin
   26           3              30        135            42             247            73             -1             10            // Goblin
   26           3              30        136            156            247            204            -1             10            // Goblin
   27           3              30        109            46             154            181            -1             20            // Chain Scorpion
   27           3              30        135            42             247            73             -1             20            // Chain Scorpion
   27           3              30        136            156            247            204            -1             20            // Chain Scorpion
   28           3              30        59             6              128            106            -1             20            // Beetle Monster
   28           3              30        106            3              247            40             -1             20            // Beetle Monster
   29           3              30        59             6              128            106            -1             20            // Hunter
   29           3              30        106            3              247            40             -1             20            // Hunter
   30           3              30        7              4              63             176            -1             10            // Forest Monster
   30           3              30        41             107            107            181            -1             10            // Forest Monster
   30           3              30        105            184            247            246            -1             10            // Forest Monster
   31           3              30        7              4              63             176            -1             20            // Agon
   31           3              30        41             107            107            181            -1             20            // Agon
   31           3              30        105            184            247            246            -1             20            // Agon
   32           3              30        4              168            115            248            -1             40            // Stone Golem
   33           3              30        59             6              128            106            -1             20            // Elite Goblin
   33           3              30        106            3              247            40             -1             20            // Elite Goblin
end


