0
//=============================================================================================================================
// NPC Location or Traps in City
//=============================================================================================================================
// Range:       [0~N]          [0~30]    [1~255]        [1~255]        [-1/0~8]
// Monster      MapNumber      Range     PositionX      PositionY      Direction      Comment
//=============================================================================================================================
   605          4              3         202            75             -1             // Mining Area (Small)
   605          4              3         206            80             -1             // Mining Area (Small)
   605          4              3         211            80             -1             // Mining Area (Small)
   606          4              3         208            72             -1             // Mining Area (Medium)
   606          4              3         212            76             -1             // Mining Area (Medium)
   607          4              3         207            76             -1             // Mining Area (Large)
end


0
//=============================================================================================================================
// NPC Location or Traps in City
//=============================================================================================================================
// Range:       [0~N]          [0~30]    [1~255]        [1~255]        [-1/0~8]
// Monster      MapNumber      Range     PositionX      PositionY      Direction      Comment
//=============================================================================================================================
   103          4              0         4              175            3              // Meteorite
   103          4              0         4              194            3              // Meteorite
   103          4              0         5              175            3              // Meteorite
   103          4              0         5              194            3              // Meteorite
   103          4              0         5              237            3              // Meteorite
   103          4              0         6              175            3              // Meteorite
   103          4              0         6              194            3              // Meteorite
   103          4              0         6              237            3              // Meteorite
   103          4              0         7              237            3              // Meteorite
   103          4              0         14             207            3              // Meteorite
   103          4              0         14             208            3              // Meteorite
   103          4              0         15             172            3              // Meteorite
   103          4              0         15             173            3              // Meteorite
   103          4              0         15             174            3              // Meteorite
   103          4              0         21             243            3              // Meteorite
   103          4              0         22             243            3              // Meteorite
   103          4              0         23             243            3              // Meteorite
   103          4              0         26             101            3              // Meteorite
   103          4              0         26             102            3              // Meteorite
   103          4              0         26             103            3              // Meteorite
   103          4              0         26             104            3              // Meteorite
   103          4              0         26             125            1              // Meteorite
   103          4              0         27             125            1              // Meteorite
   103          4              0         27             128            1              // Meteorite
   103          4              0         27             129            1              // Meteorite
   103          4              0         27             130            1              // Meteorite
   103          4              0         28             125            1              // Meteorite
   103          4              0         29             125            1              // Meteorite
   103          4              0         30             99             3              // Meteorite
   103          4              0         30             100            3              // Meteorite
   103          4              0         30             101            3              // Meteorite
   103          4              0         33             125            1              // Meteorite
   103          4              0         34             125            1              // Meteorite
   103          4              0         34             128            1              // Meteorite
   103          4              0         34             129            1              // Meteorite
   103          4              0         34             130            1              // Meteorite
   103          4              0         35             125            1              // Meteorite
   103          4              0         36             125            1              // Meteorite
   103          4              0         36             133            1              // Meteorite
   103          4              0         36             134            1              // Meteorite
   103          4              0         37             119            3              // Meteorite
   103          4              0         37             120            3              // Meteorite
   103          4              0         38             108            5              // Meteorite
   103          4              0         38             109            5              // Meteorite
   103          4              0         38             110            5              // Meteorite
   103          4              0         41             132            1              // Meteorite
   103          4              0         41             133            1              // Meteorite
   103          4              0         42             245            3              // Meteorite
   103          4              0         42             246            3              // Meteorite
   103          4              0         45             108            5              // Meteorite
   103          4              0         45             109            5              // Meteorite
   103          4              0         45             110            5              // Meteorite
   103          4              0         45             110            1              // Meteorite
   103          4              0         45             110            1              // Meteorite
   103          4              0         46             169            3              // Meteorite
   103          4              0         46             170            3              // Meteorite
   103          4              0         46             171            3              // Meteorite
   103          4              0         46             172            3              // Meteorite
   103          4              0         47             131            1              // Meteorite
   103          4              0         47             132            1              // Meteorite
   103          4              0         51             198            3              // Meteorite
   103          4              0         51             199            3              // Meteorite
   103          4              0         51             200            3              // Meteorite
   103          4              0         51             201            3              // Meteorite
   103          4              0         52             114            3              // Meteorite
   103          4              0         52             178            3              // Meteorite
   103          4              0         53             114            3              // Meteorite
   103          4              0         53             178            3              // Meteorite
   103          4              0         54             114            3              // Meteorite
   103          4              0         54             178            3              // Meteorite
   103          4              0         82             175            3              // Meteorite
   103          4              0         82             184            3              // Meteorite
   103          4              0         82             201            3              // Meteorite
   103          4              0         83             175            3              // Meteorite
   103          4              0         83             184            3              // Meteorite
   103          4              0         83             201            3              // Meteorite
   103          4              0         84             120            3              // Meteorite
   103          4              0         84             175            3              // Meteorite
   103          4              0         84             184            3              // Meteorite
   103          4              0         84             201            3              // Meteorite
   103          4              0         85             120            3              // Meteorite
   103          4              0         85             175            3              // Meteorite
   103          4              0         86             120            3              // Meteorite
   103          4              0         93             130            3              // Meteorite
   103          4              0         93             131            3              // Meteorite
   103          4              0         93             132            3              // Meteorite
   103          4              0         93             243            3              // Meteorite
   103          4              0         93             244            3              // Meteorite
   103          4              0         93             245            3              // Meteorite
   103          4              0         93             246            3              // Meteorite
   103          4              0         98             225            3              // Meteorite
   103          4              0         99             225            3              // Meteorite
   103          4              0         100            185            3              // Meteorite
   103          4              0         100            225            3              // Meteorite
   103          4              0         101            185            3              // Meteorite
   103          4              0         101            225            3              // Meteorite
   103          4              0         102            185            3              // Meteorite
   103          4              0         103            185            3              // Meteorite
   103          4              0         107            242            3              // Meteorite
   103          4              0         107            243            3              // Meteorite
   103          4              0         107            244            3              // Meteorite
   103          4              0         110            227            3              // Meteorite
   103          4              0         111            227            3              // Meteorite
   103          4              0         112            227            3              // Meteorite
   103          4              0         113            227            3              // Meteorite
   103          4              0         120            208            3              // Meteorite
   103          4              0         121            208            3              // Meteorite
   103          4              0         122            208            3              // Meteorite
   103          4              0         123            132            3              // Meteorite
   103          4              0         123            133            3              // Meteorite
   103          4              0         123            134            3              // Meteorite
   103          4              0         123            135            3              // Meteorite
   103          4              0         125            115            3              // Meteorite
   103          4              0         126            104            3              // Meteorite
   103          4              0         126            105            3              // Meteorite
   103          4              0         126            106            3              // Meteorite
   103          4              0         126            107            3              // Meteorite
   103          4              0         126            115            3              // Meteorite
   103          4              0         127            115            3              // Meteorite
   103          4              0         128            221            3              // Meteorite
   103          4              0         129            221            3              // Meteorite
   103          4              0         130            221            3              // Meteorite
   103          4              0         132            126            3              // Meteorite
   103          4              0         132            178            3              // Meteorite
   103          4              0         133            126            3              // Meteorite
   103          4              0         133            178            3              // Meteorite
   103          4              0         134            126            3              // Meteorite
   103          4              0         196            56             3              // Meteorite
   103          4              0         196            57             3              // Meteorite
   103          4              0         196            58             3              // Meteorite
   103          4              0         196            62             3              // Meteorite
   103          4              0         197            62             3              // Meteorite
   103          4              0         198            62             3              // Meteorite
   103          4              0         199            62             3              // Meteorite
   103          4              0         202            45             3              // Meteorite
   103          4              0         202            46             3              // Meteorite
   103          4              0         202            47             3              // Meteorite
   103          4              0         202            48             3              // Meteorite
   103          4              0         219            234            1              // Meteorite
   103          4              0         219            235            1              // Meteorite
   103          4              0         219            236            1              // Meteorite
   103          4              0         219            237            1              // Meteorite
   103          4              0         226            115            3              // Meteorite
   103          4              0         226            116            3              // Meteorite
   103          4              0         226            117            3              // Meteorite
   103          4              0         226            233            1              // Meteorite
   103          4              0         227            233            1              // Meteorite
   103          4              0         228            233            1              // Meteorite
end


2
//=============================================================================================================================
// Monster or Traps Fixed Location
//=============================================================================================================================
// Range:       [0~N]          [0~30]     [1~255]        [1~255]        [-1/0~8]       [1~1000]
// Monster      MapNumber      Range      PositionX      PositionY      Direction      Comment
//=============================================================================================================================
   34           4              30        83             220            -1             // Cursed Wizard
   34           4              30        84             237            -1             // Cursed Wizard
   34           4              30        86             190            -1             // Cursed Wizard
   34           4              30        88             206            -1             // Cursed Wizard
   34           4              30        90             239            -1             // Cursed Wizard
   34           4              30        95             173            -1             // Cursed Wizard
   34           4              30        96             167            -1             // Cursed Wizard
   34           4              30        98             231            -1             // Cursed Wizard
   34           4              30        98             245            -1             // Cursed Wizard
   34           4              30        101            188            -1             // Cursed Wizard
   34           4              30        102            217            -1             // Cursed Wizard
   34           4              30        103            205            -1             // Cursed Wizard
   34           4              30        104            232            -1             // Cursed Wizard
   34           4              30        105            175            -1             // Cursed Wizard
   34           4              30        110            206            -1             // Cursed Wizard
   34           4              30        111            219            -1             // Cursed Wizard
   34           4              30        112            235            -1             // Cursed Wizard
   34           4              30        113            189            -1             // Cursed Wizard
   34           4              30        115            167            -1             // Cursed Wizard
   34           4              30        121            235            -1             // Cursed Wizard
   34           4              30        123            201            -1             // Cursed Wizard
   34           4              30        123            224            -1             // Cursed Wizard
   34           4              30        125            180            -1             // Cursed Wizard
   34           4              30        127            239            -1             // Cursed Wizard
   34           4              30        132            201            -1             // Cursed Wizard
   34           4              30        133            185            -1             // Cursed Wizard
   34           4              30        133            215            -1             // Cursed Wizard
   34           4              30        134            166            -1             // Cursed Wizard
   34           4              30        165            223            -1             // Cursed Wizard
   34           4              30        167            197            -1             // Cursed Wizard
   34           4              30        172            177            -1             // Cursed Wizard
   34           4              30        187            184            -1             // Cursed Wizard
   34           4              30        191            244            -1             // Cursed Wizard
   34           4              30        192            203            -1             // Cursed Wizard
