0
//=============================================================================================================================
// NPC Location or Traps in City
//=============================================================================================================================
// Range:       [0~N]          [0~30]    [1~255]        [1~255]        [-1/0~8]
// Monster      MapNumber      Range     PositionX      PositionY      Direction      Comment
//=============================================================================================================================
   605          8              5         186            60             -1             // Mining Area (Small)
   605          8              5         188            54             -1             // Mining Area (Small)
   605          8              5         198            64             -1             // Mining Area (Small)
   605          8              5         206            55             -1             // Mining Area (Small)
   605          8              5         206            72             -1             // Mining Area (Small)
   606          8              5         164            58             -1             // Mining Area (Medium)
   606          8              5         192            73             -1             // Mining Area (Medium)
   606          8              5         197            57             -1             // Mining Area (Medium)
   606          8              5         203            65             -1             // Mining Area (Medium)
   607          8              5         199            56             -1             // Mining Area (Large)
   607          8              5         201            70             -1             // Mining Area (Large)
   607          8              5         205            59             -1             // Mining Area (Large)
end


2
//=============================================================================================================================
// Monster or Traps Fixed Location
//=============================================================================================================================
// Range:       [0~N]          [0~30]     [1~255]        [1~255]        [-1/0~8]       [1~1000]
// Monster      MapNumber      Range      PositionX      PositionY      Direction      Comment
//=============================================================================================================================
   57           8              30        21             92             -1             // Iron Wheel
   57           8              30        25             83             -1             // Iron Wheel
   57           8              30        27             75             -1             // Iron Wheel
   57           8              30        34             78             -1             // Iron Wheel
   57           8              30        35             62             -1             // Iron Wheel
   57           8              30        38             71             -1             // Iron Wheel
   57           8              30        38             98             -1             // Iron Wheel
   57           8              30        46             71             -1             // Iron Wheel
   57           8              30        48             99             -1             // Iron Wheel
   57           8              30        55             100            -1             // Iron Wheel
   57           8              30        56             75             -1             // Iron Wheel
   57           8              30        62             91             -1             // Iron Wheel
   57           8              30        64             71             -1             // Iron Wheel
   57           8              30        65             64             -1             // Iron Wheel
   57           8              30        70             57             -1             // Iron Wheel
   57           8              30        70             92             -1             // Iron Wheel
   57           8              30        79             89             -1             // Iron Wheel
   57           8              30        81             63             -1             // Iron Wheel
   57           8              30        85             91             -1             // Iron Wheel
   57           8              30        89             71             -1             // Iron Wheel
   57           8              30        90             50             -1             // Iron Wheel
   57           8              30        114            78             -1             // Iron Wheel
   57           8              30        123            73             -1             // Iron Wheel
   58           8              30        8              219            -1             // Tantalos
   58           8              30        18             127            -1             // Tantalos
   58           8              30        18             238            -1             // Tantalos
   58           8              30        22             244            -1             // Tantalos
   58           8              30        24             120            -1             // Tantalos
   58           8              30        24             212            -1             // Tantalos
   58           8              30        25             127            -1             // Tantalos
   58           8              30        26             149            -1             // Tantalos
   58           8              30        26             160            -1             // Tantalos
   58           8              30        27             229            -1             // Tantalos
   58           8              30        29             98             -1             // Tantalos
   58           8              30        32             132            -1             // Tantalos
   58           8              30        33             157            -1             // Tantalos
   58           8              30        33             168            -1             // Tantalos
