0
//=============================================================================================================================
// NPC Location or Traps in City
//=============================================================================================================================
// Range:       [0~N]          [0~30]    [1~255]        [1~255]        [-1/0~8]
// Monster      MapNumber      Range     PositionX      PositionY      Direction      Comment
//=============================================================================================================================
   216          30             0         176            212            1              // Crown
   217          30             0         167            195            7              // Crown Switch 2
   218          30             0         184            195            7              // Crown Switch 1
   220          30             0         139            101            3              // Gatekeeper
   223          30             0         179            214            1              // Senior
   224          30             0         86             61             1              // Guardsman
   224          30             0         99             61             1              // Guardsman
   376          30             0         90             44             1              // Pamela the Supplier
   377          30             0         89             218            3              // Angela the Supplier
end


