2
//=============================================================================================================================
// Monster or Traps Fixed Location
//=============================================================================================================================
// Range:       [0~N]          [0~30]     [1~255]        [1~255]        [-1/0~8]       [1~1000]
// Monster      MapNumber      Range      PositionX      PositionY      Direction      Comment
//=============================================================================================================================
   290          31             30        50             60             -1             // Lizard Warrior
   290          31             30        54             65             -1             // Lizard Warrior
   290          31             30        59             59             -1             // Lizard Warrior
   290          31             30        67             85             -1             // Lizard Warrior
   290          31             30        69             75             -1             // Lizard Warrior
   290          31             30        69             103            -1             // Lizard Warrior
   290          31             30        70             65             -1             // Lizard Warrior
   290          31             30        77             102            -1             // Lizard Warrior
   290          31             30        82             74             -1             // Lizard Warrior
   290          31             30        87             77             -1             // Lizard Warrior
   290          31             30        92             83             -1             // Lizard Warrior
   290          31             30        94             92             -1             // Lizard Warrior
   290          31             30        103            91             -1             // Lizard Warrior
   290          31             30        122            81             -1             // Lizard Warrior
   290          31             30        139            50             -1             // Lizard Warrior
   290          31             30        142            66             -1             // Lizard Warrior
   290          31             30        144            77             -1             // Lizard Warrior
   290          31             30        153            59             -1             // Lizard Warrior
   290          31             30        155            70             -1             // Lizard Warrior
   290          31             30        156            89             -1             // Lizard Warrior
   290          31             30        157            34             -1             // Lizard Warrior
   290          31             30        162            61             -1             // Lizard Warrior
   290          31             30        165            70             -1             // Lizard Warrior
   290          31             30        167            82             -1             // Lizard Warrior
   290          31             30        170            55             -1             // Lizard Warrior
   290          31             30        170            74             -1             // Lizard Warrior
   290          31             30        172            62             -1             // Lizard Warrior
   290          31             30        191            21             -1             // Lizard Warrior
   290          31             30        204            61             -1             // Lizard Warrior
   290          31             30        209            67             -1             // Lizard Warrior
   290          31             30        212            22             -1             // Lizard Warrior
   290          31             30        214            53             -1             // Lizard Warrior
   290          31             30        218            65             -1             // Lizard Warrior
   290          31             30        222            87             -1             // Lizard Warrior
   290          31             30        223            39             -1             // Lizard Warrior
   290          31             30        226            63             -1             // Lizard Warrior
   290          31             30        228            109            -1             // Lizard Warrior
   290          31             30        231            95             -1             // Lizard Warrior
   290          31             30        233            36             -1             // Lizard Warrior
   290          31             30        234            55             -1             // Lizard Warrior
   290          31             30        234            66             -1             // Lizard Warrior
   290          31             30        234            75             -1             // Lizard Warrior
   291          31             30        18             173            -1             // Fire Golem
   291          31             30        28             185            -1             // Fire Golem
   291          31             30        31             209            -1             // Fire Golem
   291          31             30        38             172            -1             // Fire Golem
   291          31             30        40             231            -1             // Fire Golem
   291          31             30        48             207            -1             // Fire Golem
   291          31             30        52             188            -1             // Fire Golem
   291          31             30        56             227            -1             // Fire Golem
   291          31             30        64             213            -1             // Fire Golem
   291          31             30        80             234            -1             // Fire Golem
   291          31             30        81             221            -1             // Fire Golem
   291          31             30        88             183            -1             // Fire Golem
   291          31             30        105            190            -1             // Fire Golem
   291          31             30        120            225            -1             // Fire Golem
   291          31             30        131            215            -1             // Fire Golem
   291          31             30        134            229            -1             // Fire Golem
   291          31             30        138            173            -1             // Fire Golem
   291          31             30        144            198            -1             // Fire Golem
   291          31             30        145            209            -1             // Fire Golem
   291          31             30        155            227            -1             // Fire Golem
   291          31             30        187            175            -1             // Fire Golem
   291          31             30        193            167            -1             // Fire Golem
   291          31             30        197            204            -1             // Fire Golem
   291          31             30        198            192            -1             // Fire Golem
   291          31             30        208            217            -1             // Fire Golem
   291          31             30        216            183            -1             // Fire Golem
   291          31             30        222            221            -1             // Fire Golem
   291          31             30        225            141            -1             // Fire Golem
   291          31             30        231            211            -1             // Fire Golem
   291          31             30        233            199            -1             // Fire Golem
   292          31             30        27             174            -1             // Queen Bee
   292          31             30        37             222            -1             // Queen Bee
   292          31             30        41             185            -1             // Queen Bee
   292          31             30        48             221            -1             // Queen Bee
   292          31             30        71             194            -1             // Queen Bee
   292          31             30        72             232            -1             // Queen Bee
   292          31             30        75             204            -1             // Queen Bee
   292          31             30        92             225            -1             // Queen Bee
   292          31             30        95             138            -1             // Queen Bee
   292          31             30        97             200            -1             // Queen Bee
   292          31             30        98             175            -1             // Queen Bee
   292          31             30        120            132            -1             // Queen Bee
   292          31             30        123            146            -1             // Queen Bee
   292          31             30        128            136            -1             // Queen Bee
   292          31             30        128            224            -1             // Queen Bee
   292          31             30        133            145            -1             // Queen Bee
   292          31             30        133            168            -1             // Queen Bee
   292          31             30        138            133            -1             // Queen Bee
   292          31             30        141            182            -1             // Queen Bee
   292          31             30        141            221            -1             // Queen Bee
   292          31             30        144            169            -1             // Queen Bee
   292          31             30        146            126            -1             // Queen Bee
   292          31             30        152            112            -1             // Queen Bee
   292          31             30        155            218            -1             // Queen Bee
   292          31             30        159            121            -1             // Queen Bee
   292          31             30        163            225            -1             // Queen Bee
   292          31             30        175            127            -1             // Queen Bee
   292          31             30        182            177            -1             // Queen Bee
   292          31             30        183            140            -1             // Queen Bee
   292          31             30        187            159            -1             // Queen Bee
   292          31             30        191            120            -1             // Queen Bee
   292          31             30        191            182            -1             // Queen Bee
