0
//=============================================================================================================================
// NPC Location or Traps in City
//=============================================================================================================================
// Range:       [0~N]          [0~30]    [1~255]        [1~255]        [-1/0~8]
// Monster      MapNumber      Range     PositionX      PositionY      Direction      Comment
//=============================================================================================================================
   369          33             0         78             13             2              // Osbourne
   370          33             0         86             13             1              // Jerridon
   605          33             3         76             9              -1             // Mining Area (Small)
   605          33             3         83             15             -1             // Mining Area (Small)
   605          33             3         88             7              -1             // Mining Area (Small)
   606          33             3         83             12             -1             // Mining Area (Medium)
   606          33             3         91             12             -1             // Mining Area (Medium)
   607          33             3         79             10             -1             // Mining Area (Large)
end


2
//=============================================================================================================================
// Monster or Traps Fixed Location
//=============================================================================================================================
// Range:       [0~N]          [0~30]     [1~255]        [1~255]        [-1/0~8]       [1~1000]
// Monster      MapNumber      Range      PositionX      PositionY      Direction      Comment
//=============================================================================================================================
   304          33             30        88             73             -1             // Witch Queen
   304          33             30        106            49             -1             // Witch Queen
   304          33             30        120            97             -1             // Witch Queen
   304          33             30        125            82             -1             // Witch Queen
   304          33             30        137            125            -1             // Witch Queen
   304          33             30        141            76             -1             // Witch Queen
   305          33             30        81             80             -1             // Blue Golem
   305          33             30        83             121            -1             // Blue Golem
   305          33             30        86             155            -1             // Blue Golem
   305          33             30        88             62             -1             // Blue Golem
   305          33             30        92             45             -1             // Blue Golem
   305          33             30        92             86             -1             // Blue Golem
   305          33             30        94             158            -1             // Blue Golem
   305          33             30        94             158            -1             // Blue Golem
   305          33             30        95             150            -1             // Blue Golem
   305          33             30        102            175            -1             // Blue Golem
   305          33             30        104            42             -1             // Blue Golem
   305          33             30        104            160            -1             // Blue Golem
   305          33             30        111            94             -1             // Blue Golem
   305          33             30        113            155            -1             // Blue Golem
   305          33             30        114            67             -1             // Blue Golem
   305          33             30        114            101            -1             // Blue Golem
   305          33             30        117            73             -1             // Blue Golem
   305          33             30        125            112            -1             // Blue Golem
   305          33             30        126            73             -1             // Blue Golem
   305          33             30        131            94             -1             // Blue Golem
   305          33             30        133            79             -1             // Blue Golem
   305          33             30        133            133            -1             // Blue Golem
   305          33             30        134            106            -1             // Blue Golem
   305          33             30        136            66             -1             // Blue Golem
   305          33             30        146            72             -1             // Blue Golem
   305          33             30        148            93             -1             // Blue Golem
   305          33             30        157            166            -1             // Blue Golem
   305          33             30        167            127            -1             // Blue Golem
   305          33             30        168            140            -1             // Blue Golem
   305          33             30        168            168            -1             // Blue Golem
   305          33             30        169            174            -1             // Blue Golem
   305          33             30        180            40             -1             // Blue Golem
   305          33             30        185            147            -1             // Blue Golem
   305          33             30        194            19             -1             // Blue Golem
   305          33             30        195            153            -1             // Blue Golem
   305          33             30        197            148            -1             // Blue Golem
   305          33             30        208            168            -1             // Blue Golem
   305          33             30        230            132            -1             // Blue Golem
   305          33             30        235            101            -1             // Blue Golem
   306          33             30        85             145            -1             // Death Rider
   306          33             30        88             126            -1             // Death Rider
   306          33             30        89             109            -1             // Death Rider
   306          33             30        90             203            -1             // Death Rider
   306          33             30        93             173            -1             // Death Rider
   306          33             30        100            58             -1             // Death Rider
   306          33             30        119            56             -1             // Death Rider
   306          33             30        126            156            -1             // Death Rider
   306          33             30        126            156            -1             // Death Rider
   306          33             30        136            144            -1             // Death Rider
   306          33             30        145            87             -1             // Death Rider
   306          33             30        149            112            -1             // Death Rider
   306          33             30        161            117            -1             // Death Rider
   306          33             30        167            152            -1             // Death Rider
   306          33             30        169            85             -1             // Death Rider
   306          33             30        176            124            -1             // Death Rider
   306          33             30        186            89             -1             // Death Rider
   306          33             30        188            27             -1             // Death Rider
   306          33             30        189            179            -1             // Death Rider
   306          33             30        190            144            -1             // Death Rider
   306          33             30        191            138            -1             // Death Rider
   306          33             30        193            150            -1             // Death Rider
   306          33             30        204            172            -1             // Death Rider
   306          33             30        207            54             -1             // Death Rider
   306          33             30        209            75             -1             // Death Rider
   306          33             30        214            35             -1             // Death Rider
   306          33             30        215            32             -1             // Death Rider
   306          33             30        217            36             -1             // Death Rider
   306          33             30        221            60             -1             // Death Rider
   306          33             30        223            158            -1             // Death Rider
   306          33             30        227            52             -1             // Death Rider
   306          33             30        228            17             -1             // Death Rider
   306          33             30        228            60             -1             // Death Rider
   306          33             30        230            12             -1             // Death Rider
   306          33             30        233            61             -1             // Death Rider
   306          33             30        234            71             -1             // Death Rider
   306          33             30        234            146            -1             // Death Rider
   306          33             30        235            90             -1             // Death Rider
   306          33             30        236            33             -1             // Death Rider
   306          33             30        237            38             -1             // Death Rider
   307          33             30        86             171            -1             // Forest Orc
   307          33             30        126            20             -1             // Forest Orc
   307          33             30        126            26             -1             // Forest Orc
   307          33             30        148            10             -1             // Forest Orc
   307          33             30        148            19             -1             // Forest Orc
   307          33             30        149            35             -1             // Forest Orc
   307          33             30        157            16             -1             // Forest Orc
   307          33             30        158            46             -1             // Forest Orc
   307          33             30        166            57             -1             // Forest Orc
   307          33             30        166            73             -1             // Forest Orc
   307          33             30        168            82             -1             // Forest Orc
   307          33             30        171            82             -1             // Forest Orc
   307          33             30        172            11             -1             // Forest Orc
   307          33             30        176            60             -1             // Forest Orc
   307          33             30        183            96             -1             // Forest Orc
   307          33             30        187            17             -1             // Forest Orc
   307          33             30        189            55             -1             // Forest Orc
   307          33             30        190            40             -1             // Forest Orc
   307          33             30        190            79             -1             // Forest Orc
   307          33             30        194            33             -1             // Forest Orc
   307          33             30        196            45             -1             // Forest Orc
   307          33             30        199            108            -1             // Forest Orc
   307          33             30        210            122            -1             // Forest Orc
   307          33             30        212            62             -1             // Forest Orc
   307          33             30        213            82             -1             // Forest Orc
   307          33             30        213            137            -1             // Forest Orc
   307          33             30        214            10             -1             // Forest Orc
   307          33             30        225            149            -1             // Forest Orc
   307          33             30        226            67             -1             // Forest Orc
   307          33             30        226            140            -1             // Forest Orc
   307          33             30        232            38             -1             // Forest Orc
   307          33             30        233            125            -1             // Forest Orc
   307          33             30        234            36             -1             // Forest Orc
   307          33             30        234            111            -1             // Forest Orc
   307          33             30        234            155            -1             // Forest Orc
   307          33             30        236            135            -1             // Forest Orc
   308          33             30        103            16             -1             // Death Tree
   308          33             30        113            8              -1             // Death Tree
   308          33             30        118            16             -1             // Death Tree
   308          33             30        136            23             -1             // Death Tree
   308          33             30        137            13             -1             // Death Tree
   308          33             30        150            46             -1             // Death Tree
   308          33             30        157            23             -1             // Death Tree
   308          33             30        158            10             -1             // Death Tree
   308          33             30        162            70             -1             // Death Tree
   308          33             30        164            18             -1             // Death Tree
   308          33             30        166            48             -1             // Death Tree
   308          33             30        174            23             -1             // Death Tree
   308          33             30        177            16             -1             // Death Tree
   308          33             30        189            38             -1             // Death Tree
   308          33             30        189            95             -1             // Death Tree
   308          33             30        195            26             -1             // Death Tree
   308          33             30        196            99             -1             // Death Tree
   308          33             30        200            71             -1             // Death Tree
   308          33             30        204            12             -1             // Death Tree
   308          33             30        205            31             -1             // Death Tree
   308          33             30        206            91             -1             // Death Tree
   308          33             30        213            38             -1             // Death Tree
   308          33             30        214            114            -1             // Death Tree
   308          33             30        216            38             -1             // Death Tree
   308          33             30        219            91             -1             // Death Tree
   308          33             30        222            75             -1             // Death Tree
   308          33             30        223            130            -1             // Death Tree
   308          33             30        226            11             -1             // Death Tree
   308          33             30        228            111            -1             // Death Tree
   309          33             30        108            147            -1             // Hell Maine
   309          33             30        112            47             -1             // Hell Maine
   309          33             30        123            103            -1             // Hell Maine
   549          33             30        38             206            -1             // Bloody Orc
   549          33             30        40             224            -1             // Bloody Orc
   549          33             30        67             227            -1             // Bloody Orc
   549          33             30        73             222            -1             // Bloody Orc
   549          33             30        82             228            -1             // Bloody Orc
   549          33             30        148            198            -1             // Bloody Orc
   549          33             30        158            216            -1             // Bloody Orc
   549          33             30        158            235            -1             // Bloody Orc
   549          33             30        162            194            -1             // Bloody Orc
   549          33             30        163            237            -1             // Bloody Orc
   549          33             30        171            212            -1             // Bloody Orc
   549          33             30        186            207            -1             // Bloody Orc
   549          33             30        192            207            -1             // Bloody Orc
   549          33             30        199            200            -1             // Bloody Orc
   549          33             30        208            210            -1             // Bloody Orc
   549          33             30        211            204            -1             // Bloody Orc
   549          33             30        215            238            -1             // Bloody Orc
   549          33             30        218            224            -1             // Bloody Orc
   549          33             30        221            236            -1             // Bloody Orc
   549          33             30        228            219            -1             // Bloody Orc
   549          33             30        232            217            -1             // Bloody Orc
   549          33             30        237            236            -1             // Bloody Orc
   549          33             30        240            230            -1             // Bloody Orc
   550          33             30        20             181            -1             // Bloody Death Rider
   550          33             30        26             54             -1             // Bloody Death Rider
   550          33             30        26             118            -1             // Bloody Death Rider
   550          33             30        26             134            -1             // Bloody Death Rider
   550          33             30        33             222            -1             // Bloody Death Rider
   550          33             30        42             179            -1             // Bloody Death Rider
   550          33             30        46             212            -1             // Bloody Death Rider
   550          33             30        47             125            -1             // Bloody Death Rider
   550          33             30        53             53             -1             // Bloody Death Rider
   550          33             30        54             155            -1             // Bloody Death Rider
   550          33             30        75             228            -1             // Bloody Death Rider
   550          33             30        82             216            -1             // Bloody Death Rider
   550          33             30        99             203            -1             // Bloody Death Rider
   550          33             30        104            203            -1             // Bloody Death Rider
   550          33             30        122            200            -1             // Bloody Death Rider
   550          33             30        126            184            -1             // Bloody Death Rider
   550          33             30        127            224            -1             // Bloody Death Rider
   550          33             30        131            227            -1             // Bloody Death Rider
   550          33             30        137            218            -1             // Bloody Death Rider
   550          33             30        138            200            -1             // Bloody Death Rider
   550          33             30        152            211            -1             // Bloody Death Rider
   550          33             30        154            193            -1             // Bloody Death Rider
   550          33             30        155            231            -1             // Bloody Death Rider
   550          33             30        159            228            -1             // Bloody Death Rider
   550          33             30        165            215            -1             // Bloody Death Rider
   550          33             30        170            203            -1             // Bloody Death Rider
   550          33             30        203            213            -1             // Bloody Death Rider
   550          33             30        206            197            -1             // Bloody Death Rider
   551          33             30        22             127            -1             // Bloody Golem
   551          33             30        22             190            -1             // Bloody Golem
   551          33             30        25             49             -1             // Bloody Golem
   551          33             30        25             61             -1             // Bloody Golem
   551          33             30        28             191            -1             // Bloody Golem
   551          33             30        35             116            -1             // Bloody Golem
   551          33             30        39             178            -1             // Bloody Golem
   551          33             30        39             222            -1             // Bloody Golem
   551          33             30        40             184            -1             // Bloody Golem
   551          33             30        44             176            -1             // Bloody Golem
   551          33             30        51             48             -1             // Bloody Golem
   551          33             30        51             60             -1             // Bloody Golem
   551          33             30        55             120            -1             // Bloody Golem
   551          33             30        66             209            -1             // Bloody Golem
   551          33             30        77             212            -1             // Bloody Golem
   551          33             30        87             209            -1             // Bloody Golem
   551          33             30        123            195            -1             // Bloody Golem
   551          33             30        127            230            -1             // Bloody Golem
   551          33             30        128            190            -1             // Bloody Golem
   551          33             30        130            218            -1             // Bloody Golem
   551          33             30        135            196            -1             // Bloody Golem
   551          33             30        136            184            -1             // Bloody Golem
   551          33             30        138            188            -1             // Bloody Golem
   551          33             30        143            198            -1             // Bloody Golem
   551          33             30        160            232            -1             // Bloody Golem
   551          33             30        199            207            -1             // Bloody Golem
   551          33             30        218            232            -1             // Bloody Golem
   551          33             30        236            232            -1             // Bloody Golem
   552          33             30        20             133            -1             // Bloody Witch Queen
   552          33             30        24             186            -1             // Bloody Witch Queen
   552          33             30        26             146            -1             // Bloody Witch Queen
   552          33             30        26             182            -1             // Bloody Witch Queen
   552          33             30        31             53             -1             // Bloody Witch Queen
   552          33             30        32             205            -1             // Bloody Witch Queen
   552          33             30        35             107            -1             // Bloody Witch Queen
   552          33             30        36             93             -1             // Bloody Witch Queen
   552          33             30        37             77             -1             // Bloody Witch Queen
   552          33             30        39             119            -1             // Bloody Witch Queen
