0
//=============================================================================================================================
// NPC Location or Traps in City
//=============================================================================================================================
// Range:       [0~N]          [0~30]    [1~255]        [1~255]        [-1/0~8]
// Monster      MapNumber      Range     PositionX      PositionY      Direction      Comment
//=============================================================================================================================
   204          34             0         121            31             2              // Wolf Status
   205          34             0         125            27             2              // Wolf Altar 1
   206          34             0         126            35             2              // Wolf Altar 2
   207          34             0         120            38             2              // Wolf Altar 3
   208          34             0         115            35             2              // Wolf Altar 4
   209          34             0         117            27             2              // Wolf Altar 5
   224          34             0         118            11             4              // Guardsman
   226          34             0         135            47             2              // Trainer
   240          34             0         113            56             2              // Safety Guardian
   248          34             0         99             40             2              // Wandering Merchant Martin
   251          34             0         145            14             1              // Hanzo the Blacksmith
   256          34             0         96             25             2              // Lahap
   406          34             0         228            48             1              // Apostle Devin
   407          34             0         62             239            1              // Werewolf Quarel
end


2
//=============================================================================================================================
// Monster or Traps Fixed Location
//=============================================================================================================================
// Range:       [0~N]          [0~30]     [1~255]        [1~255]        [-1/0~8]       [1~1000]
// Monster      MapNumber      Range      PositionX      PositionY      Direction      Comment
//=============================================================================================================================
   310          34             30        58             47             -1             // Hammer Scout
   310          34             30        60             38             -1             // Hammer Scout
   310          34             30        65             24             -1             // Hammer Scout
   310          34             30        70             37             -1             // Hammer Scout
   310          34             30        74             20             -1             // Hammer Scout
   310          34             30        77             32             -1             // Hammer Scout
   310          34             30        78             51             -1             // Hammer Scout
   310          34             30        79             43             -1             // Hammer Scout
   310          34             30        83             10             -1             // Hammer Scout
   310          34             30        88             50             -1             // Hammer Scout
   310          34             30        88             60             -1             // Hammer Scout
   310          34             30        94             54             -1             // Hammer Scout
   310          34             30        98             60             -1             // Hammer Scout
   310          34             30        150            60             -1             // Hammer Scout
   310          34             30        159            60             -1             // Hammer Scout
   310          34             30        162            41             -1             // Hammer Scout
   310          34             30        164            18             -1             // Hammer Scout
   310          34             30        169            60             -1             // Hammer Scout
   310          34             30        176            32             -1             // Hammer Scout
   310          34             30        178            22             -1             // Hammer Scout
   310          34             30        179            48             -1             // Hammer Scout
   310          34             30        185            35             -1             // Hammer Scout
   310          34             30        191            27             -1             // Hammer Scout
   310          34             30        194            44             -1             // Hammer Scout
   310          34             30        195            33             -1             // Hammer Scout
   310          34             30        199            60             -1             // Hammer Scout
   310          34             30        201            40             -1             // Hammer Scout
   310          34             30        205            46             -1             // Hammer Scout
   310          34             30        206            45             -1             // Hammer Scout
   310          34             30        214            60             -1             // Hammer Scout
   311          34             30        22             100            -1             // Lance Scout
   311          34             30        27             122            -1             // Lance Scout
   311          34             30        35             78             -1             // Lance Scout
   311          34             30        47             53             -1             // Lance Scout
   311          34             30        47             65             -1             // Lance Scout
   311          34             30        79             78             -1             // Lance Scout
   311          34             30        82             67             -1             // Lance Scout
   311          34             30        95             78             -1             // Lance Scout
   311          34             30        103            71             -1             // Lance Scout
   311          34             30        113            78             -1             // Lance Scout
   311          34             30        117            99             -1             // Lance Scout
   311          34             30        122            78             -1             // Lance Scout
   311          34             30        135            69             -1             // Lance Scout
   311          34             30        138            78             -1             // Lance Scout
   311          34             30        146            68             -1             // Lance Scout
   311          34             30        156            69             -1             // Lance Scout
   311          34             30        157            78             -1             // Lance Scout
   311          34             30        159            49             -1             // Lance Scout
   311          34             30        170            47             -1             // Lance Scout
   311          34             30        170            78             -1             // Lance Scout
   311          34             30        173            97             -1             // Lance Scout
   311          34             30        174            54             -1             // Lance Scout
   311          34             30        177            78             -1             // Lance Scout
   311          34             30        197            78             -1             // Lance Scout
   311          34             30        210            88             -1             // Lance Scout
   311          34             30        211            69             -1             // Lance Scout
   311          34             30        221            78             -1             // Lance Scout
   311          34             30        223            120            -1             // Lance Scout
   311          34             30        225            68             -1             // Lance Scout
   311          34             30        231            78             -1             // Lance Scout
   312          34             30        21             88             -1             // Bow Scout
   312          34             30        23             115            -1             // Bow Scout
   312          34             30        30             88             -1             // Bow Scout
   312          34             30        56             115            -1             // Bow Scout
   312          34             30        68             115            -1             // Bow Scout
   312          34             30        78             88             -1             // Bow Scout
   312          34             30        79             115            -1             // Bow Scout
   312          34             30        83             101            -1             // Bow Scout
   312          34             30        90             88             -1             // Bow Scout
   312          34             30        100            88             -1             // Bow Scout
   312          34             30        114            88             -1             // Bow Scout
   312          34             30        122            115            -1             // Bow Scout
   312          34             30        124            88             -1             // Bow Scout
   312          34             30        135            88             -1             // Bow Scout
   312          34             30        145            99             -1             // Bow Scout
   312          34             30        146            88             -1             // Bow Scout
   312          34             30        155            115            -1             // Bow Scout
   312          34             30        156            84             -1             // Bow Scout
   312          34             30        168            88             -1             // Bow Scout
   312          34             30        178            88             -1             // Bow Scout
   312          34             30        192            88             -1             // Bow Scout
   312          34             30        201            89             -1             // Bow Scout
   312          34             30        202            98             -1             // Bow Scout
   312          34             30        217            94             -1             // Bow Scout
   312          34             30        233            102            -1             // Bow Scout
   312          34             30        236            88             -1             // Bow Scout
   313          34             30        19             131            -1             // Werewolf
   313          34             30        20             145            -1             // Werewolf
