2
//=============================================================================================================================
// Monster or Traps Fixed Location
//=============================================================================================================================
// Range:       [0~N]          [0~30]     [1~255]        [1~255]        [-1/0~8]       [1~1000]
// Monster      MapNumber      Range      PositionX      PositionY      Direction      Comment
//=============================================================================================================================
   350          37             30        31             87             -1             // Berserker
   350          37             30        38             51             -1             // Berserker
   350          37             30        46             34             -1             // Berserker
   350          37             30        48             103            -1             // Berserker
   350          37             30        50             49             -1             // Berserker
   350          37             30        55             104            -1             // Berserker
   350          37             30        56             44             -1             // Berserker
   350          37             30        61             31             -1             // Berserker
   350          37             30        64             97             -1             // Berserker
   350          37             30        65             35             -1             // Berserker
   350          37             30        66             99             -1             // Berserker
   350          37             30        71             20             -1             // Berserker
   350          37             30        85             21             -1             // Berserker
   350          37             30        85             61             -1             // Berserker
   350          37             30        92             34             -1             // Berserker
   350          37             30        101            68             -1             // Berserker
   350          37             30        117            40             -1             // Berserker
   350          37             30        122            22             -1             // Berserker
   350          37             30        129            19             -1             // Berserker
   350          37             30        137            26             -1             // Berserker
   350          37             30        137            47             -1             // Berserker
   350          37             30        145            47             -1             // Berserker
   350          37             30        150            56             -1             // Berserker
   350          37             30        151            11             -1             // Berserker
   350          37             30        154            41             -1             // Berserker
   350          37             30        158            57             -1             // Berserker
   350          37             30        165            50             -1             // Berserker
   350          37             30        188            11             -1             // Berserker
   351          37             30        36             234            -1             // Splinter Wolf
   351          37             30        42             227            -1             // Splinter Wolf
   351          37             30        42             235            -1             // Splinter Wolf
   351          37             30        55             228            -1             // Splinter Wolf
   351          37             30        69             238            -1             // Splinter Wolf
   351          37             30        75             231            -1             // Splinter Wolf
   351          37             30        94             234            -1             // Splinter Wolf
   351          37             30        100            240            -1             // Splinter Wolf
   351          37             30        114            239            -1             // Splinter Wolf
   351          37             30        118            232            -1             // Splinter Wolf
   351          37             30        135            223            -1             // Splinter Wolf
   351          37             30        143            239            -1             // Splinter Wolf
   351          37             30        151            206            -1             // Splinter Wolf
   351          37             30        155            196            -1             // Splinter Wolf
   351          37             30        157            204            -1             // Splinter Wolf
   351          37             30        159            232            -1             // Splinter Wolf
   351          37             30        170            224            -1             // Splinter Wolf
   351          37             30        172            215            -1             // Splinter Wolf
   351          37             30        174            196            -1             // Splinter Wolf
   351          37             30        180            225            -1             // Splinter Wolf
   351          37             30        188            218            -1             // Splinter Wolf
   351          37             30        189            211            -1             // Splinter Wolf
   352          37             30        165            157            -1             // Iron Rider
   352          37             30        165            165            -1             // Iron Rider
   352          37             30        172            205            -1             // Iron Rider
   352          37             30        174            170            -1             // Iron Rider
   352          37             30        175            150            -1             // Iron Rider
   352          37             30        180            164            -1             // Iron Rider
   352          37             30        185            148            -1             // Iron Rider
   352          37             30        187            205            -1             // Iron Rider
   352          37             30        195            148            -1             // Iron Rider
   352          37             30        195            156            -1             // Iron Rider
   352          37             30        198            179            -1             // Iron Rider
   352          37             30        204            137            -1             // Iron Rider
   352          37             30        207            187            -1             // Iron Rider
   352          37             30        207            195            -1             // Iron Rider
   352          37             30        212            125            -1             // Iron Rider
   352          37             30        214            143            -1             // Iron Rider
   352          37             30        217            145            -1             // Iron Rider
   352          37             30        222            113            -1             // Iron Rider
   352          37             30        223            132            -1             // Iron Rider
   352          37             30        225            141            -1             // Iron Rider
   352          37             30        236            135            -1             // Iron Rider
   353          37             30        166            162            -1             // Satyros
   353          37             30        178            168            -1             // Satyros
   353          37             30        182            150            -1             // Satyros
   353          37             30        193            181            -1             // Satyros
   353          37             30        195            152            -1             // Satyros
   353          37             30        206            38             -1             // Satyros
   353          37             30        213            44             -1             // Satyros
   353          37             30        213            165            -1             // Satyros
   353          37             30        214            35             -1             // Satyros
   353          37             30        215            37             -1             // Satyros
   353          37             30        217            141            -1             // Satyros
   353          37             30        218            164            -1             // Satyros
   353          37             30        220            155            -1             // Satyros
   353          37             30        224            43             -1             // Satyros
   353          37             30        224            82             -1             // Satyros
   353          37             30        225            86             -1             // Satyros
   353          37             30        226            68             -1             // Satyros
   353          37             30        226            154            -1             // Satyros
   353          37             30        229            58             -1             // Satyros
   353          37             30        230            82             -1             // Satyros
   353          37             30        231            96             -1             // Satyros
   353          37             30        233            123            -1             // Satyros
   353          37             30        234            101            -1             // Satyros
   353          37             30        234            132            -1             // Satyros
   353          37             30        236            91             -1             // Satyros
   354          37             30        116            43             -1             // Blade Hunter
   354          37             30        120            28             -1             // Blade Hunter
   354          37             30        122            44             -1             // Blade Hunter
   354          37             30        124            25             -1             // Blade Hunter
   354          37             30        126            18             -1             // Blade Hunter
   354          37             30        134            39             -1             // Blade Hunter
   354          37             30        138            39             -1             // Blade Hunter
   354          37             30        142            41             -1             // Blade Hunter
   354          37             30        148            19             -1             // Blade Hunter
   354          37             30        148            51             -1             // Blade Hunter
   354          37             30        152            59             -1             // Blade Hunter
   354          37             30        155            18             -1             // Blade Hunter
   354          37             30        156            59             -1             // Blade Hunter
   354          37             30        164            22             -1             // Blade Hunter
   354          37             30        165            40             -1             // Blade Hunter
   354          37             30        167            43             -1             // Blade Hunter
   354          37             30        175            10             -1             // Blade Hunter
   354          37             30        187            7              -1             // Blade Hunter
   354          37             30        189            14             -1             // Blade Hunter
   354          37             30        204            35             -1             // Blade Hunter
   354          37             30        207            40             -1             // Blade Hunter
   354          37             30        221            47             -1             // Blade Hunter
   355          37             30        72             62             -1             // Kentauros
   355          37             30        76             53             -1             // Kentauros
   355          37             30        87             71             -1             // Kentauros
   355          37             30        115            65             -1             // Kentauros
   355          37             30        117            26             -1             // Kentauros
   355          37             30        119            55             -1             // Kentauros
   355          37             30        136            51             -1             // Kentauros
   355          37             30        137            42             -1             // Kentauros
   355          37             30        153            15             -1             // Kentauros
   355          37             30        163            33             -1             // Kentauros
   355          37             30        176            41             -1             // Kentauros
   355          37             30        181            15             -1             // Kentauros
   355          37             30        181            27             -1             // Kentauros
   356          37             30        41             37             -1             // Gigantis
   356          37             30        51             32             -1             // Gigantis
   356          37             30        59             40             -1             // Gigantis
   356          37             30        66             21             -1             // Gigantis
   356          37             30        68             28             -1             // Gigantis
   356          37             30        77             19             -1             // Gigantis
   356          37             30        77             28             -1             // Gigantis
   356          37             30        87             36             -1             // Gigantis
   356          37             30        90             39             -1             // Gigantis
   357          37             30        32             76             -1             // Genocider
   357          37             30        35             55             -1             // Genocider
   357          37             30        35             69             -1             // Genocider
   357          37             30        37             59             -1             // Genocider
   357          37             30        44             44             -1             // Genocider
   357          37             30        45             70             -1             // Genocider
   357          37             30        46             102            -1             // Genocider
   357          37             30        47             54             -1             // Genocider
   357          37             30        58             92             -1             // Genocider
   357          37             30        58             104            -1             // Genocider
   357          37             30        63             101            -1             // Genocider
   553          37             30        58             135            -1             // Berserker Warrior
   553          37             30        60             156            -1             // Berserker Warrior
   553          37             30        68             164            -1             // Berserker Warrior
   553          37             30        69             158            -1             // Berserker Warrior
   553          37             30        77             157            -1             // Berserker Warrior
   553          37             30        79             166            -1             // Berserker Warrior
