0
//=============================================================================================================================
// NPC Location or Traps in City
//=============================================================================================================================
// Range:       [0~N]          [0~30]    [1~255]        [1~255]        [-1/0~8]
// Monster      MapNumber      Range     PositionX      PositionY      Direction      Comment
//=============================================================================================================================
   367          38             0         141            191            2              // Gateway Machine
end


2
//=============================================================================================================================
// Monster or Traps Fixed Location
//=============================================================================================================================
// Range:       [0~N]          [0~30]     [1~255]        [1~255]        [-1/0~8]       [1~1000]
// Monster      MapNumber      Range      PositionX      PositionY      Direction      Comment
//=============================================================================================================================
   105          38             30        97             78             8              // Canon Trap
   105          38             30        97             96             8              // Canon Trap
   105          38             30        107            153            8              // Canon Trap
   105          38             30        111            153            8              // Canon Trap
   105          38             30        122            74             8              // Canon Trap
   105          38             30        123            79             8              // Canon Trap
   105          38             30        136            70             8              // Canon Trap
   105          38             30        137            104            8              // Canon Trap
   105          38             30        138            152            8              // Canon Trap
   105          38             30        150            152            8              // Canon Trap
   105          38             30        152            78             8              // Canon Trap
   105          38             30        177            89             8              // Canon Trap
   105          38             30        186            105            8              // Canon Trap
   105          38             30        201            134            8              // Canon Trap
   106          38             30        138            166            8              // Laser Trap
   106          38             30        138            171            8              // Laser Trap
   106          38             30        138            177            8              // Laser Trap
   106          38             30        138            183            8              // Laser Trap
   106          38             30        141            155            8              // Laser Trap
   106          38             30        141            166            8              // Laser Trap
   106          38             30        141            171            8              // Laser Trap
   106          38             30        141            177            8              // Laser Trap
   106          38             30        141            183            8              // Laser Trap
   106          38             30        144            166            8              // Laser Trap
   106          38             30        144            171            8              // Laser Trap
   106          38             30        144            177            8              // Laser Trap
   106          38             30        144            183            8              // Laser Trap
end


2
//=============================================================================================================================
// Monster or Traps Fixed Location
//=============================================================================================================================
// Range:       [0~N]          [0~30]     [1~255]        [1~255]        [-1/0~8]       [1~1000]
// Monster      MapNumber      Range      PositionX      PositionY      Direction      Comment
//=============================================================================================================================
   358          38             30        97             78             -1             // Persona
   358          38             30        102            78             -1             // Persona
   358          38             30        105            133            -1             // Persona
   358          38             30        106            154            -1             // Persona
   358          38             30        106            159            -1             // Persona
   358          38             30        108            148            -1             // Persona
   358          38             30        111            154            -1             // Persona
   358          38             30        111            159            -1             // Persona
   358          38             30        119            126            -1             // Persona
   358          38             30        124            69             -1             // Persona
   358          38             30        127            135            -1             // Persona
   358          38             30        128            69             -1             // Persona
   358          38             30        132            97             -1             // Persona
   358          38             30        135            150            -1             // Persona
   358          38             30        138            67             -1             // Persona
   358          38             30        140            76             -1             // Persona
   358          38             30        147            148            -1             // Persona
   358          38             30        152            120            -1             // Persona
   358          38             30        156            120            -1             // Persona
   358          38             30        158            137            -1             // Persona
   358          38             30        163            82             -1             // Persona
   358          38             30        171            141            -1             // Persona
   358          38             30        175            104            -1             // Persona
   358          38             30        177            129            -1             // Persona
   358          38             30        183            86             -1             // Persona
   358          38             30        193            146            -1             // Persona
   358          38             30        195            105            -1             // Persona
   359          38             30        99             85             -1             // Twin Tale
   359          38             30        100            97             -1             // Twin Tale
   359          38             30        101            139            -1             // Twin Tale
   359          38             30        111            79             -1             // Twin Tale
   359          38             30        113            96             -1             // Twin Tale
   359          38             30        117            135            -1             // Twin Tale
   359          38             30        123            88             -1             // Twin Tale
   359          38             30        125            74             -1             // Twin Tale
   359          38             30        126            98             -1             // Twin Tale
   359          38             30        135            88             -1             // Twin Tale
   359          38             30        139            99             -1             // Twin Tale
   359          38             30        149            85             -1             // Twin Tale
   359          38             30        151            160            -1             // Twin Tale
   359          38             30        153            78             -1             // Twin Tale
   359          38             30        159            98             -1             // Twin Tale
   359          38             30        168            94             -1             // Twin Tale
   359          38             30        178            92             -1             // Twin Tale
   359          38             30        179            139            -1             // Twin Tale
   359          38             30        185            97             -1             // Twin Tale
   359          38             30        187            145            -1             // Twin Tale
   359          38             30        195            115            -1             // Twin Tale
   359          38             30        197            136            -1             // Twin Tale
   359          38             30        198            121            -1             // Twin Tale
   359          38             30        199            131            -1             // Twin Tale
   360          38             30        110            140            -1             // Dreadfear
   360          38             30        122            127            -1             // Dreadfear
   360          38             30        137            142            -1             // Dreadfear
   360          38             30        140            162            -1             // Dreadfear
   360          38             30        150            151            -1             // Dreadfear
   360          38             30        152            110            -1             // Dreadfear
   360          38             30        162            129            -1             // Dreadfear
   360          38             30        163            148            -1             // Dreadfear
   360          38             30        164            112            -1             // Dreadfear
   360          38             30        167            129            -1             // Dreadfear
   360          38             30        176            117            -1             // Dreadfear
   360          38             30        177            150            -1             // Dreadfear
end


