0
//=============================================================================================================================
// NPC Location or Traps in City
//=============================================================================================================================
// Range:       [0~N]          [0~30]    [1~255]        [1~255]        [-1/0~8]
// Monster      MapNumber      Range     PositionX      PositionY      Direction      Comment
//=============================================================================================================================
   408          41             0         119            168            2              // Gatekeeper
end


2
//=============================================================================================================================
// Monster or Traps Fixed Location
//=============================================================================================================================
// Range:       [0~N]          [0~30]     [1~255]        [1~255]        [-1/0~8]       [1~1000]
// Monster      MapNumber      Range      PositionX      PositionY      Direction      Comment
//=============================================================================================================================
   409          41             30        39             101            -1             // Balram
   409          41             30        44             110            -1             // Balram
   409          41             30        52             134            -1             // Balram
   409          41             30        64             132            -1             // Balram
   409          41             30        67             112            -1             // Balram
   409          41             30        71             101            -1             // Balram
   409          41             30        71             101            -1             // Balram
   409          41             30        87             90             -1             // Balram
   409          41             30        90             67             -1             // Balram
   409          41             30        90             78             -1             // Balram
   409          41             30        109            101            -1             // Balram
   410          41             30        44             127            -1             // Death Spirit
   410          41             30        57             123            -1             // Death Spirit
   410          41             30        79             86             -1             // Death Spirit
   410          41             30        98             96             -1             // Death Spirit
   410          41             30        101            69             -1             // Death Spirit
   410          41             30        121            118            -1             // Death Spirit
   410          41             30        122            90             -1             // Death Spirit
   410          41             30        125            99             -1             // Death Spirit
   410          41             30        137            140            -1             // Death Spirit
   410          41             30        140            150            -1             // Death Spirit
   411          41             30        116            103            -1             // Soram
   411          41             30        123            160            -1             // Soram
   411          41             30        126            164            -1             // Soram
   411          41             30        127            127            -1             // Soram
   411          41             30        129            146            -1             // Soram
   411          41             30        132            136            -1             // Soram
   411          41             30        132            156            -1             // Soram
end


