2
//=============================================================================================================================
// Monster or Traps Fixed Location
//=============================================================================================================================
// Range:       [0~N]          [0~30]     [1~255]        [1~255]        [-1/0~8]       [1~1000]
// Monster      MapNumber      Range      PositionX      PositionY      Direction      Comment
//=============================================================================================================================
   410          42             30        85             179            -1             // Death Spirit
   410          42             30        86             199            -1             // Death Spirit
   410          42             30        104            179            -1             // Death Spirit
   410          42             30        104            200            -1             // Death Spirit
   411          42             30        82             190            -1             // Soram
   411          42             30        92             174            -1             // Soram
   411          42             30        94             202            -1             // Soram
   411          42             30        111            190            -1             // Soram
   412          42             30        97             187            -1             // Dark Elf
end


