0
//=============================================================================================================================
// NPC Location or Traps in City
//=============================================================================================================================
// Range:       [0~N]          [0~30]    [1~255]        [1~255]        [-1/0~8]
// Monster      MapNumber      Range     PositionX      PositionY      Direction      Comment
//=============================================================================================================================
   240          51             0         50             229            1              // Safety Guardian
   256          51             0         37             241            1              // Lahap
   257          51             0         43             191            3              // Shadow Phantom Soldier
   257          51             0         57             232            3              // Shadow Phantom Soldier
   257          51             0         73             220            1              // Shadow Phantom Soldier
   368          51             0         27             202            3              // Elpis
   385          51             0         55             243            1              // Mirage
   415          51             0         44             229            1              // Silvia
   416          51             0         29             236            2              // Rhea
   417          51             0         36             219            2              // Marce
   452          51             0         46             243            1              // Seed Master
   453          51             0         50             243            1              // Seed Researcher
   540          51             0         49             216            2              // Lugard
   568          51             0         55             199            1              // Wandering Merchant Zyro
   579          51             0         20             214            3              // David
end


1
//===============================================================================================================================================================
// Monster Spot Location
//===============================================================================================================================================================
// Range:       [0~N]          [0~30]     [1~255]        [1~255]        [1~255]      [1~255]      [-1/0~8]       [1~1000]
// Monster      MapNumber      Range      BeginPosX      BeginPosY      EndPosX      EndPosY      Direction      Quantity      Comment
//===============================================================================================================================================================
   3            51             30        13             125            56             168            -1             15            // Spider
   3            51             30        102            194            142            238            -1             15            // Spider
   418          51             30        54             131            88             180            -1             10            // Strange Rabbit
   418          51             30        84             178            142            212            -1             10            // Strange Rabbit
   419          51             30        118            87             160            141            -1             20            // Hideous Rabbit
   421          51             30        87             90             125            170            -1             10            // Polluted Butterfly
   421          51             30        118            130            164            172            -1             10            // Polluted Butterfly
end


2
//=============================================================================================================================
// Monster or Traps Fixed Location
//=============================================================================================================================
// Range:       [0~N]          [0~30]     [1~255]        [1~255]        [-1/0~8]       [1~1000]
// Monster      MapNumber      Range      PositionX      PositionY      Direction      Comment
//=============================================================================================================================
   418          51             30        24             144            -1             // Strange Rabbit
   418          51             30        24             144            -1             // Strange Rabbit
   418          51             30        31             157            -1             // Strange Rabbit
   418          51             30        31             157            -1             // Strange Rabbit
   418          51             30        45             160            -1             // Strange Rabbit
   418          51             30        45             160            -1             // Strange Rabbit
   418          51             30        50             149            -1             // Strange Rabbit
   418          51             30        50             149            -1             // Strange Rabbit
   418          51             30        75             173            -1             // Strange Rabbit
   418          51             30        97             190            -1             // Strange Rabbit
   418          51             30        105            201            -1             // Strange Rabbit
   418          51             30        106            187            -1             // Strange Rabbit
   418          51             30        109            217            -1             // Strange Rabbit
   418          51             30        123            227            -1             // Strange Rabbit
   419          51             30        93             117            -1             // Hideous Rabbit
   419          51             30        97             105            -1             // Hideous Rabbit
   419          51             30        102            139            -1             // Hideous Rabbit
   419          51             30        111            127            -1             // Hideous Rabbit
   419          51             30        115            109            -1             // Hideous Rabbit
   419          51             30        128            169            -1             // Hideous Rabbit
   419          51             30        129            119            -1             // Hideous Rabbit
   419          51             30        129            119            -1             // Hideous Rabbit
   419          51             30        130            132            -1             // Hideous Rabbit
   419          51             30        130            132            -1             // Hideous Rabbit
   419          51             30        135            89             -1             // Hideous Rabbit
   419          51             30        137            103            -1             // Hideous Rabbit
   419          51             30        139            141            -1             // Hideous Rabbit
   419          51             30        139            141            -1             // Hideous Rabbit
   419          51             30        150            110            -1             // Hideous Rabbit
   419          51             30        150            129            -1             // Hideous Rabbit
   419          51             30        151            126            -1             // Hideous Rabbit
   419          51             30        151            156            -1             // Hideous Rabbit
   419          51             30        155            147            -1             // Hideous Rabbit
   419          51             30        169            124            -1             // Hideous Rabbit
   420          51             30        45             77             -1             // Werewolf
   420          51             30        46             82             -1             // Werewolf
   420          51             30        52             69             -1             // Werewolf
   420          51             30        57             91             -1             // Werewolf
   420          51             30        65             75             -1             // Werewolf
   420          51             30        68             30             -1             // Werewolf
   420          51             30        69             59             -1             // Werewolf
   420          51             30        70             63             -1             // Werewolf
   420          51             30        72             32             -1             // Werewolf
   420          51             30        72             60             -1             // Werewolf
   420          51             30        73             84             -1             // Werewolf
   420          51             30        74             81             -1             // Werewolf
   420          51             30        74             81             -1             // Werewolf
   420          51             30        83             57             -1             // Werewolf
   420          51             30        84             42             -1             // Werewolf
   420          51             30        92             58             -1             // Werewolf
   420          51             30        102            106            -1             // Werewolf
   421          51             30        33             130            -1             // Polluted Butterfly
   421          51             30        68             137            -1             // Polluted Butterfly
   421          51             30        68             137            -1             // Polluted Butterfly
   421          51             30        75             154            -1             // Polluted Butterfly
   421          51             30        82             138            -1             // Polluted Butterfly
   421          51             30        93             117            -1             // Polluted Butterfly
   421          51             30        115            163            -1             // Polluted Butterfly
   421          51             30        118            155            -1             // Polluted Butterfly
   421          51             30        119            139            -1             // Polluted Butterfly
   421          51             30        122            189            -1             // Polluted Butterfly
   421          51             30        122            189            -1             // Polluted Butterfly
   421          51             30        132            209            -1             // Polluted Butterfly
   421          51             30        133            213            -1             // Polluted Butterfly
   421          51             30        135            195            -1             // Polluted Butterfly
   422          51             30        76             15             -1             // Cursed Lich
   422          51             30        80             16             -1             // Cursed Lich
   422          51             30        87             39             -1             // Cursed Lich
   422          51             30        96             45             -1             // Cursed Lich
   422          51             30        102            32             -1             // Cursed Lich
   422          51             30        104            30             -1             // Cursed Lich
   422          51             30        104            49             -1             // Cursed Lich
   422          51             30        104            63             -1             // Cursed Lich
   422          51             30        104            67             -1             // Cursed Lich
   422          51             30        115            89             -1             // Cursed Lich
   422          51             30        118            49             -1             // Cursed Lich
   422          51             30        121            23             -1             // Cursed Lich
   422          51             30        125            38             -1             // Cursed Lich
   422          51             30        127            40             -1             // Cursed Lich
   422          51             30        135            25             -1             // Cursed Lich
   422          51             30        135            28             -1             // Cursed Lich
   422          51             30        135            89             -1             // Cursed Lich
   423          51             30        171            175            -1             // Totem Golem
   423          51             30        174            180            -1             // Totem Golem
   423          51             30        177            175            -1             // Totem Golem
   423          51             30        184            194            -1             // Totem Golem
   423          51             30        184            194            -1             // Totem Golem
   423          51             30        190            150            -1             // Totem Golem
   423          51             30        192            144            -1             // Totem Golem
   423          51             30        195            149            -1             // Totem Golem
   423          51             30        196            171            -1             // Totem Golem
   423          51             30        196            171            -1             // Totem Golem
   423          51             30        200            157            -1             // Totem Golem
   423          51             30        202            193            -1             // Totem Golem
   423          51             30        202            193            -1             // Totem Golem
   423          51             30        208            125            -1             // Totem Golem
   423          51             30        212            150            -1             // Totem Golem
   423          51             30        214            135            -1             // Totem Golem
   423          51             30        223            143            -1             // Totem Golem
   423          51             30        226            149            -1             // Totem Golem
   423          51             30        227            118            -1             // Totem Golem
   423          51             30        228            130            -1             // Totem Golem
   423          51             30        230            143            -1             // Totem Golem
   423          51             30        230            143            -1             // Totem Golem
   424          51             30        150            55             -1             // Grizzly
   424          51             30        152            51             -1             // Grizzly
   424          51             30        152            76             -1             // Grizzly
   424          51             30        154            56             -1             // Grizzly
   424          51             30        154            80             -1             // Grizzly
   424          51             30        156            52             -1             // Grizzly
   424          51             30        160            81             -1             // Grizzly
   424          51             30        163            69             -1             // Grizzly
   424          51             30        167            91             -1             // Grizzly
   424          51             30        169            124            -1             // Grizzly
   424          51             30        171            90             -1             // Grizzly
   424          51             30        173            80             -1             // Grizzly
   424          51             30        173            94             -1             // Grizzly
   424          51             30        176            68             -1             // Grizzly
   424          51             30        180            75             -1             // Grizzly
   424          51             30        182            98             -1             // Grizzly
   424          51             30        184            79             -1             // Grizzly
   424          51             30        186            75             -1             // Grizzly
   424          51             30        189            90             -1             // Grizzly
   424          51             30        192            93             -1             // Grizzly
   424          51             30        193            88             -1             // Grizzly
   424          51             30        195            33             -1             // Grizzly
   425          51             30        168            24             -1             // Captain Grizzly
   425          51             30        173            34             -1             // Captain Grizzly
   425          51             30        176            38             -1             // Captain Grizzly
   425          51             30        177            33             -1             // Captain Grizzly
   425          51             30        185            20             -1             // Captain Grizzly
   425          51             30        194            46             -1             // Captain Grizzly
   425          51             30        196            38             -1             // Captain Grizzly
   425          51             30        196            50             -1             // Captain Grizzly
   425          51             30        198            47             -1             // Captain Grizzly
   425          51             30        199            35             -1             // Captain Grizzly
   425          51             30        200            54             -1             // Captain Grizzly
   425          51             30        202            19             -1             // Captain Grizzly
   425          51             30        202            57             -1             // Captain Grizzly
   425          51             30        205            16             -1             // Captain Grizzly
   425          51             30        205            16             -1             // Captain Grizzly
   425          51             30        205            53             -1             // Captain Grizzly
   425          51             30        207            20             -1             // Captain Grizzly
   425          51             30        207            38             -1             // Captain Grizzly
   425          51             30        212            20             -1             // Captain Grizzly
   425          51             30        212            24             -1             // Captain Grizzly
   425          51             30        214            52             -1             // Captain Grizzly
   425          51             30        218            38             -1             // Captain Grizzly
   425          51             30        219            74             -1             // Captain Grizzly
   425          51             30        219            74             -1             // Captain Grizzly
   425          51             30        226            45             -1             // Captain Grizzly
   425          51             30        226            51             -1             // Captain Grizzly
   425          51             30        230            48             -1             // Captain Grizzly
end


