0
//=============================================================================================================================
// NPC Location or Traps in City
//=============================================================================================================================
// Range:       [0~N]          [0~30]    [1~255]        [1~255]        [-1/0~8]
// Monster      MapNumber      Range     PositionX      PositionY      Direction      Comment
//=============================================================================================================================
   605          56             5         130            111            -1             // Mining Area (Small)
   605          56             5         135            100            -1             // Mining Area (Small)
   605          56             5         139            113            -1             // Mining Area (Small)
   605          56             5         143            99             -1             // Mining Area (Small)
   605          56             5         145            109            -1             // Mining Area (Small)
   606          56             5         134            105            -1             // Mining Area (Medium)
   606          56             5         137            101            -1             // Mining Area (Medium)
   606          56             5         138            109            -1             // Mining Area (Medium)
   606          56             5         142            105            -1             // Mining Area (Medium)
   607          56             5         141            105            -1             // Mining Area (Large)
   607          56             5         142            109            -1             // Mining Area (Large)
   607          56             5         145            119            -1             // Mining Area (Large)
end


2
//=============================================================================================================================
// Monster or Traps Fixed Location
//=============================================================================================================================
// Range:       [0~N]          [0~30]     [1~255]        [1~255]        [-1/0~8]       [1~1000]
// Monster      MapNumber      Range      PositionX      PositionY      Direction      Comment
//=============================================================================================================================
   441          56             5         173            215            -1             // Sapi-Unus
   441          56             5         173            222            -1             // Sapi-Unus
   441          56             5         198            198            -1             // Sapi-Unus
   441          56             5         198            208            -1             // Sapi-Unus
   441          56             5         198            214            -1             // Sapi-Unus
   441          56             5         203            198            -1             // Sapi-Unus
   441          56             5         207            202            -1             // Sapi-Unus
   441          56             5         220            184            -1             // Sapi-Unus
   441          56             5         226            184            -1             // Sapi-Unus
   441          56             5         226            210            -1             // Sapi-Unus
   441          56             5         229            202            -1             // Sapi-Unus
   441          56             5         233            204            -1             // Sapi-Unus
   441          56             5         236            201            -1             // Sapi-Unus
   441          56             5         237            210            -1             // Sapi-Unus
   442          56             5         189            226            -1             // Sapi-Duo
   442          56             5         201            228            -1             // Sapi-Duo
   442          56             5         207            234            -1             // Sapi-Duo
   442          56             5         210            196            -1             // Sapi-Duo
   442          56             5         216            177            -1             // Sapi-Duo
   442          56             5         218            171            -1             // Sapi-Duo
   442          56             5         220            192            -1             // Sapi-Duo
   442          56             5         220            217            -1             // Sapi-Duo
   442          56             5         224            217            -1             // Sapi-Duo
   442          56             5         227            169            -1             // Sapi-Duo
   442          56             5         228            194            -1             // Sapi-Duo
   442          56             5         230            173            -1             // Sapi-Duo
   442          56             5         231            197            -1             // Sapi-Duo
   442          56             5         235            194            -1             // Sapi-Duo
   443          56             5         10             44             -1             // Sapi-Tres
   443          56             5         10             50             -1             // Sapi-Tres
   443          56             5         13             47             -1             // Sapi-Tres
   443          56             5         24             49             -1             // Sapi-Tres
   443          56             5         36             44             -1             // Sapi-Tres
   443          56             5         36             51             -1             // Sapi-Tres
   443          56             5         39             20             -1             // Sapi-Tres
   443          56             5         40             49             -1             // Sapi-Tres
   443          56             5         41             26             -1             // Sapi-Tres
   443          56             5         41             44             -1             // Sapi-Tres
   443          56             5         42             218            -1             // Sapi-Tres
   443          56             5         42             229            -1             // Sapi-Tres
   443          56             5         46             203            -1             // Sapi-Tres
   443          56             5         50             44             -1             // Sapi-Tres
   443          56             5         50             202            -1             // Sapi-Tres
   443          56             5         51             27             -1             // Sapi-Tres
   443          56             5         52             11             -1             // Sapi-Tres
   443          56             5         52             232            -1             // Sapi-Tres
   443          56             5         58             20             -1             // Sapi-Tres
   443          56             5         67             235            -1             // Sapi-Tres
   443          56             5         68             15             -1             // Sapi-Tres
   443          56             5         68             192            -1             // Sapi-Tres
   443          56             5         68             202            -1             // Sapi-Tres
   443          56             5         68             215            -1             // Sapi-Tres
   443          56             5         68             224            -1             // Sapi-Tres
   443          56             5         69             23             -1             // Sapi-Tres
   443          56             5         86             220            -1             // Sapi-Tres
   444          56             5         206            30             -1             // Shadow Pawn
   444          56             5         206            39             -1             // Shadow Pawn
   444          56             5         209            29             -1             // Shadow Pawn
   444          56             5         217            24             -1             // Shadow Pawn
   444          56             5         217            82             -1             // Shadow Pawn
   444          56             5         221            88             -1             // Shadow Pawn
   444          56             5         222            10             -1             // Shadow Pawn
   444          56             5         224            14             -1             // Shadow Pawn
   444          56             5         228            10             -1             // Shadow Pawn
   444          56             5         229            27             -1             // Shadow Pawn
   444          56             5         232            11             -1             // Shadow Pawn
   444          56             5         232            88             -1             // Shadow Pawn
   444          56             5         233            72             -1             // Shadow Pawn
   444          56             5         236            56             -1             // Shadow Pawn
   444          56             5         236            68             -1             // Shadow Pawn
   444          56             5         236            80             -1             // Shadow Pawn
   445          56             5         8              34             -1             // Shadow Knight
   445          56             5         9              22             -1             // Shadow Knight
   445          56             5         9              47             -1             // Shadow Knight
   445          56             5         12             11             -1             // Shadow Knight
   445          56             5         19             11             -1             // Shadow Knight
