0
//=============================================================================================================================
// NPC Location or Traps in City
//=============================================================================================================================
// Range:       [0~N]          [0~30]    [1~255]        [1~255]        [-1/0~8]
// Monster      MapNumber      Range     PositionX      PositionY      Direction      Comment
//=============================================================================================================================
   605          57             3         211            208            -1             // Mining Area (Small)
   605          57             3         220            203            -1             // Mining Area (Small)
   605          57             3         222            208            -1             // Mining Area (Small)
   606          57             3         217            208            -1             // Mining Area (Medium)
   606          57             3         223            203            -1             // Mining Area (Medium)
   607          57             3         224            221            -1             // Mining Area (Large)
end


2
//=============================================================================================================================
// Monster or Traps Fixed Location
//=============================================================================================================================
// Range:       [0~N]          [0~30]     [1~255]        [1~255]        [-1/0~8]       [1~1000]
// Monster      MapNumber      Range      PositionX      PositionY      Direction      Comment
//=============================================================================================================================
   454          57             30        141            113            -1             // Ice Walker
   454          57             30        154            129            -1             // Ice Walker
   454          57             30        179            204            -1             // Ice Walker
   454          57             30        188            203            -1             // Ice Walker
   454          57             30        196            203            -1             // Ice Walker
   454          57             30        203            204            -1             // Ice Walker
   454          57             30        204            104            -1             // Ice Walker
   455          57             30        142            126            -1             // Giant Mammoth
   455          57             30        164            212            -1             // Giant Mammoth
   455          57             30        171            207            -1             // Giant Mammoth
   455          57             30        174            214            -1             // Giant Mammoth
   455          57             30        223            150            -1             // Giant Mammoth
   456          57             30        95             195            -1             // Ice Giant
   456          57             30        116            148            -1             // Ice Giant
   456          57             30        136            106            -1             // Ice Giant
   456          57             30        136            137            -1             // Ice Giant
   456          57             30        152            136            -1             // Ice Giant
   456          57             30        153            210            -1             // Ice Giant
   456          57             30        157            217            -1             // Ice Giant
   456          57             30        162            182            -1             // Ice Giant
   456          57             30        166            187            -1             // Ice Giant
   456          57             30        168            217            -1             // Ice Giant
   456          57             30        172            188            -1             // Ice Giant
   456          57             30        192            110            -1             // Ice Giant
   456          57             30        197            132            -1             // Ice Giant
   456          57             30        202            149            -1             // Ice Giant
   457          57             30        130            135            -1             // Coolutin
   457          57             30        133            99             -1             // Coolutin
   457          57             30        143            214            -1             // Coolutin
   457          57             30        149            197            -1             // Coolutin
   457          57             30        153            194            -1             // Coolutin
   457          57             30        185            140            -1             // Coolutin
   457          57             30        196            120            -1             // Coolutin
   457          57             30        207            26             -1             // Coolutin
   457          57             30        210            39             -1             // Coolutin
   457          57             30        212            95             -1             // Coolutin
   457          57             30        225            89             -1             // Coolutin
   458          57             30        90             213            -1             // Iron Knight
   458          57             30        98             178            -1             // Iron Knight
   458          57             30        101            217            -1             // Iron Knight
   458          57             30        111            219            -1             // Iron Knight
   458          57             30        120            181            -1             // Iron Knight
   458          57             30        123            142            -1             // Iron Knight
   458          57             30        127            99             -1             // Iron Knight
   458          57             30        134            184            -1             // Iron Knight
   458          57             30        143            135            -1             // Iron Knight
   458          57             30        144            107            -1             // Iron Knight
   458          57             30        161            135            -1             // Iron Knight
   458          57             30        189            102            -1             // Iron Knight
   458          57             30        191            144            -1             // Iron Knight
   458          57             30        196            104            -1             // Iron Knight
   458          57             30        203            28             -1             // Iron Knight
   458          57             30        203            49             -1             // Iron Knight
   458          57             30        211            33             -1             // Iron Knight
   458          57             30        215            42             -1             // Iron Knight
   458          57             30        220            92             -1             // Iron Knight
   458          57             30        222            81             -1             // Iron Knight
   458          57             30        232            140            -1             // Iron Knight
   458          57             30        233            113            -1             // Iron Knight
   562          57             30        87             116            -1             // Dark Mammoth
   562          57             30        92             117            -1             // Dark Mammoth
   562          57             30        102            109            -1             // Dark Mammoth
   562          57             30        105            107            -1             // Dark Mammoth
   562          57             30        109            101            -1             // Dark Mammoth
   562          57             30        114            101            -1             // Dark Mammoth
   563          57             30        26             216            -1             // Dark Giant
   563          57             30        29             195            -1             // Dark Giant
   563          57             30        32             89             -1             // Dark Giant
   563          57             30        33             95             -1             // Dark Giant
   563          57             30        33             220            -1             // Dark Giant
   563          57             30        34             79             -1             // Dark Giant
   563          57             30        37             88             -1             // Dark Giant
   563          57             30        37             133            -1             // Dark Giant
   563          57             30        38             145            -1             // Dark Giant
   563          57             30        38             227            -1             // Dark Giant
   563          57             30        39             148            -1             // Dark Giant
   563          57             30        47             195            -1             // Dark Giant
   563          57             30        49             219            -1             // Dark Giant
   563          57             30        57             159            -1             // Dark Giant
   563          57             30        58             156            -1             // Dark Giant
   563          57             30        62             88             -1             // Dark Giant
   563          57             30        65             143            -1             // Dark Giant
   563          57             30        68             139            -1             // Dark Giant
   563          57             30        70             101            -1             // Dark Giant
   563          57             30        71             120            -1             // Dark Giant
   563          57             30        73             87             -1             // Dark Giant
   563          57             30        98             31             -1             // Dark Giant
   563          57             30        123            45             -1             // Dark Giant
   563          57             30        140            23             -1             // Dark Giant
   564          57             30        28             199            -1             // Dark Coolutin
   564          57             30        33             115            -1             // Dark Coolutin
   564          57             30        34             146            -1             // Dark Coolutin
   564          57             30        35             68             -1             // Dark Coolutin
   564          57             30        37             222            -1             // Dark Coolutin
   564          57             30        46             47             -1             // Dark Coolutin
   564          57             30        52             199            -1             // Dark Coolutin
   564          57             30        59             36             -1             // Dark Coolutin
   564          57             30        60             93             -1             // Dark Coolutin
   564          57             30        62             135            -1             // Dark Coolutin
   564          57             30        63             159            -1             // Dark Coolutin
   564          57             30        64             32             -1             // Dark Coolutin
   564          57             30        107            37             -1             // Dark Coolutin
   564          57             30        117            42             -1             // Dark Coolutin
   564          57             30        123            40             -1             // Dark Coolutin
   565          57             30        30             119            -1             // Dark Iron Knight
   565          57             30        31             51             -1             // Dark Iron Knight
   565          57             30        32             195            -1             // Dark Iron Knight
   565          57             30        33             224            -1             // Dark Iron Knight
   565          57             30        34             121            -1             // Dark Iron Knight
   565          57             30        37             46             -1             // Dark Iron Knight
   565          57             30        52             191            -1             // Dark Iron Knight
   565          57             30        64             39             -1             // Dark Iron Knight
   565          57             30        66             137            -1             // Dark Iron Knight
   565          57             30        70             95             -1             // Dark Iron Knight
   565          57             30        91             31             -1             // Dark Iron Knight
   565          57             30        93             26             -1             // Dark Iron Knight
   565          57             30        101            23             -1             // Dark Iron Knight
   565          57             30        127            43             -1             // Dark Iron Knight
   565          57             30        135            29             -1             // Dark Iron Knight
   565          57             30        140            32             -1             // Dark Iron Knight
end


