4
//=============================================================================================================================
// Monster Events
//=============================================================================================================================
// Range:       [0~N]          [0~30]     [1~255]        [1~255]        [-1/0~8]       [1~1000]
// Monster      MapNumber      Range      PositionX      PositionY      Direction      Comment
//=============================================================================================================================
   459          58             0         145            31             0              // Selupan
   460          58             0         141            27             0              // Spider Eggs
   460          58             0         144            24             0              // Spider Eggs
   460          58             0         145            24             0              // Spider Eggs
   460          58             0         146            34             0              // Spider Eggs
   460          58             0         152            30             0              // Spider Eggs
   460          58             0         152            31             0              // Spider Eggs
   461          58             0         141            28             0              // Spider Eggs
   461          58             0         144            25             0              // Spider Eggs
   461          58             0         146            33             0              // Spider Eggs
   461          58             0         147            29             0              // Spider Eggs
   461          58             0         151            30             0              // Spider Eggs
   462          58             0         142            28             0              // Spider Eggs
   462          58             0         146            29             0              // Spider Eggs
   462          58             0         146            30             0              // Spider Eggs
   462          58             0         147            34             0              // Spider Eggs
end


