0
//=============================================================================================================================
// NPC Location or Traps in City
//=============================================================================================================================
// Range:       [0~N]          [0~30]    [1~255]        [1~255]        [-1/0~8]
// Monster      MapNumber      Range     PositionX      PositionY      Direction      Comment
//=============================================================================================================================
   467          62             0         202            41             1              // Snowman
   468          62             0         222            24             1              // Dasher
   469          62             0         202            33             1              // Kermit
   470          62             0         192            24             1              // Little Santa
   471          62             0         207            9              1              // Cupid
   472          62             0         225            11             1              // Prancer
   473          62             0         232            13             1              // Donner
   474          62             0         216            19             1              // Vixen
   475          62             0         193            27             1              // Blitzen
end


