0
//=============================================================================================================================
// NPC Location or Traps in City
//=============================================================================================================================
// Range:       [0~N]          [0~30]    [1~255]        [1~255]        [-1/0~8]
// Monster      MapNumber      Range     PositionX      PositionY      Direction      Comment
//=============================================================================================================================
   240          80             0         122            96             3              // Safety Guardian
   240          80             0         123            132            2              // Safety Guardian
   240          80             0         157            127            1              // Safety Guardian
   577          80             0         121            102            3              // Leina the General Goods Merchan
   578          80             0         117            126            3              // Weapons Merchant Bolo
end


2
//=============================================================================================================================
// Monster or Traps Fixed Location
//=============================================================================================================================
// Range:       [0~N]          [0~30]     [1~255]        [1~255]        [-1/0~8]       [1~1000]
// Monster      MapNumber      Range      PositionX      PositionY      Direction      Comment
//=============================================================================================================================
   569          80             30        62             123            -1             // Venomous Chain Scorpion
   569          80             30        72             131            -1             // Venomous Chain Scorpion
   569          80             30        79             175            -1             // Venomous Chain Scorpion
   569          80             30        89             67             -1             // Venomous Chain Scorpion
   569          80             30        89             118            -1             // Venomous Chain Scorpion
   569          80             30        91             72             -1             // Venomous Chain Scorpion
   569          80             30        93             185            -1             // Venomous Chain Scorpion
   569          80             30        99             177            -1             // Venomous Chain Scorpion
   569          80             30        108            193            -1             // Venomous Chain Scorpion
   569          80             30        112            184            -1             // Venomous Chain Scorpion
   569          80             30        127            66             -1             // Venomous Chain Scorpion
   569          80             30        129            59             -1             // Venomous Chain Scorpion
   569          80             30        131            164            -1             // Venomous Chain Scorpion
   569          80             30        136            65             -1             // Venomous Chain Scorpion
   569          80             30        139            73             -1             // Venomous Chain Scorpion
   569          80             30        148            81             -1             // Venomous Chain Scorpion
   569          80             30        152            70             -1             // Venomous Chain Scorpion
   569          80             30        163            178            -1             // Venomous Chain Scorpion
   569          80             30        166            66             -1             // Venomous Chain Scorpion
   569          80             30        172            156            -1             // Venomous Chain Scorpion
   569          80             30        175            116            -1             // Venomous Chain Scorpion
   569          80             30        179            89             -1             // Venomous Chain Scorpion
   569          80             30        183            43             -1             // Venomous Chain Scorpion
   569          80             30        183            122            -1             // Venomous Chain Scorpion
   569          80             30        185            100            -1             // Venomous Chain Scorpion
   569          80             30        189            72             -1             // Venomous Chain Scorpion
   569          80             30        191            157            -1             // Venomous Chain Scorpion
   569          80             30        192            109            -1             // Venomous Chain Scorpion
   569          80             30        194            42             -1             // Venomous Chain Scorpion
   569          80             30        207            110            -1             // Venomous Chain Scorpion
   569          80             30        209            89             -1             // Venomous Chain Scorpion
   569          80             30        209            170            -1             // Venomous Chain Scorpion
   569          80             30        213            97             -1             // Venomous Chain Scorpion
   569          80             30        214            34             -1             // Venomous Chain Scorpion
