2
//=============================================================================================================================
// Monster or Traps Fixed Location
//=============================================================================================================================
// Range:       [0~N]          [0~30]     [1~255]        [1~255]        [-1/0~8]       [1~1000]
// Monster      MapNumber      Range      PositionX      PositionY      Direction      Comment
//=============================================================================================================================
   571          81             30        53             165            -1             // Orcus
   571          81             30        58             160            -1             // Orcus
   571          81             30        61             172            -1             // Orcus
   571          81             30        64             134            -1             // Orcus
   571          81             30        67             175            -1             // Orcus
   571          81             30        67             180            -1             // Orcus
   571          81             30        70             169            -1             // Orcus
   571          81             30        126            124            -1             // Orcus
   571          81             30        131            146            -1             // Orcus
   571          81             30        132            117            -1             // Orcus
   571          81             30        134            141            -1             // Orcus
   571          81             30        136            156            -1             // Orcus
   571          81             30        143            139            -1             // Orcus
   571          81             30        143            149            -1             // Orcus
   571          81             30        197            157            -1             // Orcus
   571          81             30        198            162            -1             // Orcus
   571          81             30        204            170            -1             // Orcus
   571          81             30        205            158            -1             // Orcus
   571          81             30        208            126            -1             // Orcus
   571          81             30        211            157            -1             // Orcus
   571          81             30        211            167            -1             // Orcus
   571          81             30        214            133            -1             // Orcus
   572          81             30        58             173            -1             // Gollock
   572          81             30        61             145            -1             // Gollock
   572          81             30        65             163            -1             // Gollock
   572          81             30        66             142            -1             // Gollock
   572          81             30        67             171            -1             // Gollock
   572          81             30        138            138            -1             // Gollock
   572          81             30        140            117            -1             // Gollock
   572          81             30        140            154            -1             // Gollock
   572          81             30        148            144            -1             // Gollock
   572          81             30        201            158            -1             // Gollock
   572          81             30        202            166            -1             // Gollock
   572          81             30        206            134            -1             // Gollock
   572          81             30        208            171            -1             // Gollock
   572          81             30        214            162            -1             // Gollock
   572          81             30        216            137            -1             // Gollock
   575          81             30        54             136            -1             // Condra
   575          81             30        58             59             -1             // Condra
   575          81             30        58             140            -1             // Condra
   575          81             30        59             121            -1             // Condra
   575          81             30        60             46             -1             // Condra
   575          81             30        62             138            -1             // Condra
   575          81             30        69             88             -1             // Condra
   575          81             30        71             43             -1             // Condra
   575          81             30        71             131            -1             // Condra
   575          81             30        74             105            -1             // Condra
   575          81             30        76             53             -1             // Condra
   575          81             30        76             60             -1             // Condra
   575          81             30        78             42             -1             // Condra
   575          81             30        78             103            -1             // Condra
   575          81             30        81             95             -1             // Condra
   575          81             30        82             48             -1             // Condra
   575          81             30        94             56             -1             // Condra
   575          81             30        97             78             -1             // Condra
   575          81             30        97             85             -1             // Condra
   575          81             30        98             92             -1             // Condra
   575          81             30        100            104            -1             // Condra
   575          81             30        101            57             -1             // Condra
   575          81             30        106            82             -1             // Condra
   575          81             30        114            61             -1             // Condra
   575          81             30        115            49             -1             // Condra
   575          81             30        119            81             -1             // Condra
   575          81             30        126            89             -1             // Condra
   575          81             30        127            53             -1             // Condra
   575          81             30        127            60             -1             // Condra
   575          81             30        130            49             -1             // Condra
   575          81             30        130            121            -1             // Condra
   575          81             30        132            103            -1             // Condra
   575          81             30        137            81             -1             // Condra
   575          81             30        138            113            -1             // Condra
   575          81             30        140            63             -1             // Condra
   575          81             30        145            108            -1             // Condra
   575          81             30        152            47             -1             // Condra
   575          81             30        152            105            -1             // Condra
   575          81             30        156            80             -1             // Condra
   575          81             30        160            35             -1             // Condra
   575          81             30        164            30             -1             // Condra
   575          81             30        169            30             -1             // Condra
   575          81             30        169            39             -1             // Condra
   575          81             30        171            68             -1             // Condra
   575          81             30        178            64             -1             // Condra
   575          81             30        182            72             -1             // Condra
   575          81             30        185            47             -1             // Condra
   575          81             30        186            41             -1             // Condra
   575          81             30        186            60             -1             // Condra
   575          81             30        200            83             -1             // Condra
   575          81             30        200            108            -1             // Condra
   575          81             30        201            37             -1             // Condra
   575          81             30        201            58             -1             // Condra
   575          81             30        201            87             -1             // Condra
   575          81             30        203            62             -1             // Condra
   575          81             30        206            40             -1             // Condra
   575          81             30        207            51             -1             // Condra
   575          81             30        207            76             -1             // Condra
   575          81             30        211            65             -1             // Condra
   575          81             30        211            95             -1             // Condra
   575          81             30        213            126            -1             // Condra
   575          81             30        221            48             -1             // Condra
   576          81             30        53             129            -1             // Narcondra
   576          81             30        65             90             -1             // Narcondra
   576          81             30        66             126            -1             // Narcondra
   576          81             30        69             140            -1             // Narcondra
   576          81             30        78             98             -1             // Narcondra
   576          81             30        78             109            -1             // Narcondra
   576          81             30        81             54             -1             // Narcondra
   576          81             30        84             100            -1             // Narcondra
   576          81             30        87             42             -1             // Narcondra
   576          81             30        92             80             -1             // Narcondra
   576          81             30        95             95             -1             // Narcondra
   576          81             30        104            89             -1             // Narcondra
   576          81             30        107            62             -1             // Narcondra
   576          81             30        110            55             -1             // Narcondra
   576          81             30        122            58             -1             // Narcondra
   576          81             30        125            85             -1             // Narcondra
   576          81             30        132            109            -1             // Narcondra
   576          81             30        133            83             -1             // Narcondra
   576          81             30        140            74             -1             // Narcondra
   576          81             30        141            56             -1             // Narcondra
   576          81             30        148            120            -1             // Narcondra
   576          81             30        150            84             -1             // Narcondra
   576          81             30        153            113            -1             // Narcondra
   576          81             30        170            35             -1             // Narcondra
   576          81             30        181            57             -1             // Narcondra
   576          81             30        187            81             -1             // Narcondra
   576          81             30        190            38             -1             // Narcondra
   576          81             30        195            61             -1             // Narcondra
   576          81             30        197            99             -1             // Narcondra
   576          81             30        202            80             -1             // Narcondra
   576          81             30        206            110            -1             // Narcondra
   576          81             30        210            43             -1             // Narcondra
   576          81             30        210            130            -1             // Narcondra
   576          81             30        217            122            -1             // Narcondra
end


