0
//=============================================================================================================================
// NPC Location or Traps in City
//=============================================================================================================================
// Range:       [0~N]          [0~30]    [1~255]        [1~255]        [-1/0~8]
// Monster      MapNumber      Range     PositionX      PositionY      Direction      Comment
//=============================================================================================================================
   226          82             0         210            50             3              // Trainer
   229          82             0         219            34             0              // 
   230          82             0         212            26             3              // Thompson The Merchant
   231          82             0         209            47             3              // 
   233          82             0         212            92             1              // BC
   233          82             0         230            92             1              // BC
   235          82             0         219            31             0              // Priest Sevina
   237          82             0         218            92             1              // DV
   237          82             0         236            92             1              // DV
   238          82             0         232            57             1              // Chaos Goblin
   240          82             0         214            57             2              // Storage Guard
   241          82             0         219            40             0              // Guild Master
   246          82             0         210            44             3              // Weapons Merchant Zienna
   247          82             0         223            214            2              // Berdysh Guard
   247          82             0         226            69             0              // Berdysh Guard
   247          82             0         234            135            2              // Berdysh Guard
   247          82             0         235            192            2              // Berdysh Guard
   251          82             0         210            34             3              // Hanzo The Blacksmith
   256          82             0         211            54             2              // Lahap
   257          82             0         222            69             3              // Elf Buffer
   369          82             0         229            58             1              // Osbourne
   370          82             0         230            57             1              // Jerridon
   375          82             0         219            59             1              // Chaos Card Master
   380          82             0         224            92             1              // Stone Statue
   406          82             0         219            37             0              // 
   415          82             0         216            59             2              // Silvia
   416          82             0         210            30             2              // Leah
   417          82             0         211            39             2              // Marseille
   543          82             0         216            23             0              // Osborne
end


1
//===============================================================================================================================================================
// Monster Spot Location
//===============================================================================================================================================================
// Range:       [0~N]          [0~30]     [1~255]        [1~255]        [1~255]      [1~255]      [-1/0~8]       [1~1000]
// Monster      MapNumber      Range      BeginPosX      BeginPosY      EndPosX      EndPosY      Direction      Quantity      Comment
//===============================================================================================================================================================
   2            82             30        203            88             218            101            -1             20            
   2            82             30        232            209            232            224            -1             7             
   2            82             30        237            204            237            204            -1             5             
   2            82             30        238            239            240            218            -1             2             
   2            82             30        239            220            241            238            -1             2             
   3            82             30        205            168            215            180            -1             7             
   3            82             30        215            180            236            186            -1             10            
   3            82             30        223            147            207            151            -1             8             
   3            82             30        225            101            241            111            -1             20            
   3            82             30        232            209            232            224            -1             7             
   3            82             30        238            239            240            218            -1             2             
   3            82             30        239            220            241            238            -1             2             
   20           82             30        204            240            204            240            -1             5             
   20           82             30        218            238            218            238            -1             5             
   20           82             30        219            223            212            235            -1             5             
   20           82             30        219            223            212            235            -1             5             
   20           82             30        232            209            232            224            -1             7             
   20           82             30        237            204            237            204            -1             5             
   20           82             30        238            239            240            218            -1             2             
   20           82             30        239            220            241            238            -1             2             
   22           82             30        207            151            205            168            -1             8             
   22           82             30        215            180            236            186            -1             12            
   22           82             30        229            146            223            147            -1             8             
   22           82             30        232            209            232            224            -1             7             
   22           82             30        238            239            240            218            -1             2             
   22           82             30        239            220            241            238            -1             2             
   24           82             30        205            168            215            180            -1             15            
   24           82             30        215            180            236            186            -1             15            
   24           82             30        232            209            232            224            -1             7             
   24           82             30        238            239            240            218            -1             2             
   24           82             30        239            220            241            238            -1             2             
   27           82             30        204            240            204            240            -1             5             
   27           82             30        218            238            218            238            -1             5             
   27           82             30        219            223            212            235            -1             5             
   27           82             30        219            223            212            235            -1             5             
   27           82             30        238            239            240            218            -1             5             
   27           82             30        239            220            241            238            -1             5             
end


