4
//=============================================================================================================================
// Monster Events
//=============================================================================================================================
// Range:       [0~N]          [0~30]     [1~255]        [1~255]        [-1/0~8]       [1~1000]
// Monster      MapNumber      Range      PositionX      PositionY      Direction      Comment
//=============================================================================================================================
   5            9              30        121            83             -1             // Hell Hound
   5            9              30        124            109            -1             // Hell Hound
   5            9              30        129            102            -1             // Hell Hound
   5            9              30        131            98             -1             // Hell Hound
   5            9              30        132            103            -1             // Hell Hound
   5            9              30        134            105            -1             // Hell Hound
   5            9              30        134            106            -1             // Hell Hound
   5            9              30        136            85             -1             // Hell Hound
   5            9              30        138            107            -1             // Hell Hound
   5            9              30        140            104            -1             // Hell Hound
   5            9              30        141            83             -1             // Hell Hound
   5            9              30        143            86             -1             // Hell Hound
   5            9              30        146            106            -1             // Hell Hound
   5            9              30        148            90             -1             // Hell Hound
   5            9              30        148            108            -1             // Hell Hound
   9            9              30        121            107            -1             // Thunder Lich
   9            9              30        127            92             -1             // Thunder Lich
   9            9              30        127            95             -1             // Thunder Lich
   9            9              30        128            109            -1             // Thunder Lich
   9            9              30        134            108            -1             // Thunder Lich
   9            9              30        137            105            -1             // Thunder Lich
   9            9              30        139            82             -1             // Thunder Lich
   9            9              30        139            90             -1             // Thunder Lich
   9            9              30        139            99             -1             // Thunder Lich
   9            9              30        142            109            -1             // Thunder Lich
   9            9              30        143            88             -1             // Thunder Lich
   9            9              30        144            97             -1             // Thunder Lich
   9            9              30        146            96             -1             // Thunder Lich
   9            9              30        146            101            -1             // Thunder Lich
   9            9              30        148            96             -1             // Thunder Lich
   10           9              30        124            91             -1             // Dark Knight
   10           9              30        130            96             -1             // Dark Knight
   10           9              30        131            94             -1             // Dark Knight
   10           9              30        132            86             -1             // Dark Knight
   10           9              30        133            102            -1             // Dark Knight
   10           9              30        136            90             -1             // Dark Knight
   10           9              30        137            90             -1             // Dark Knight
   10           9              30        137            93             -1             // Dark Knight
   10           9              30        141            82             -1             // Dark Knight
   10           9              30        142            105            -1             // Dark Knight
   15           9              30        121            100            -1             // Skeleton Archer
   15           9              30        122            86             -1             // Skeleton Archer
   15           9              30        124            82             -1             // Skeleton Archer
   15           9              30        126            83             -1             // Skeleton Archer
   15           9              30        127            89             -1             // Skeleton Archer
   15           9              30        128            96             -1             // Skeleton Archer
   15           9              30        128            103            -1             // Skeleton Archer
   15           9              30        129            90             -1             // Skeleton Archer
   15           9              30        130            109            -1             // Skeleton Archer
   15           9              30        131            87             -1             // Skeleton Archer
   15           9              30        134            95             -1             // Skeleton Archer
   15           9              30        134            109            -1             // Skeleton Archer
   15           9              30        135            92             -1             // Skeleton Archer
   15           9              30        135            102            -1             // Skeleton Archer
   15           9              30        139            98             -1             // Skeleton Archer
   15           9              30        144            98             -1             // Skeleton Archer
   15           9              30        146            87             -1             // Skeleton Archer
   15           9              30        146            102            -1             // Skeleton Archer
   15           9              30        148            97             -1             // Skeleton Archer
   15           9              30        148            101            -1             // Skeleton Archer
   16           9              30        121            82             -1             // Chief Skeleton Warrior
   16           9              30        123            100            -1             // Chief Skeleton Warrior
   16           9              30        124            90             -1             // Chief Skeleton Warrior
   16           9              30        124            92             -1             // Chief Skeleton Warrior
   16           9              30        130            86             -1             // Chief Skeleton Warrior
   16           9              30        130            98             -1             // Chief Skeleton Warrior
   16           9              30        137            90             -1             // Chief Skeleton Warrior
   16           9              30        140            102            -1             // Chief Skeleton Warrior
   16           9              30        141            94             -1             // Chief Skeleton Warrior
   16           9              30        144            89             -1             // Chief Skeleton Warrior
   17           9              30        121            84             -1             // Cyclops
   17           9              30        127            85             -1             // Cyclops
   17           9              30        128            84             -1             // Cyclops
   17           9              30        128            97             -1             // Cyclops
   17           9              30        129            105            -1             // Cyclops
   17           9              30        133            87             -1             // Cyclops
   17           9              30        134            95             -1             // Cyclops
   17           9              30        135            94             -1             // Cyclops
   17           9              30        139            100            -1             // Cyclops
   17           9              30        141            97             -1             // Cyclops
   17           9              30        141            104            -1             // Cyclops
   17           9              30        141            108            -1             // Cyclops
   17           9              30        142            103            -1             // Cyclops
   17           9              30        143            109            -1             // Cyclops
   17           9              30        144            102            -1             // Cyclops
   17           9              30        145            85             -1             // Cyclops
   17           9              30        145            91             -1             // Cyclops
   17           9              30        145            96             -1             // Cyclops
   17           9              30        145            100            -1             // Cyclops
   17           9              30        147            94             -1             // Cyclops
   18           9              30        122            86             -1             // Gorgon
   18           9              30        124            107            -1             // Gorgon
   18           9              30        126            94             -1             // Gorgon
   18           9              30        132            84             -1             // Gorgon
   18           9              30        132            96             -1             // Gorgon
   18           9              30        132            105            -1             // Gorgon
   18           9              30        133            100            -1             // Gorgon
   18           9              30        139            106            -1             // Gorgon
   18           9              30        140            90             -1             // Gorgon
   18           9              30        148            101            -1             // Gorgon
end


4
//=============================================================================================================================
// Monster Events
//=============================================================================================================================
// Range:       [0~N]          [0~30]     [1~255]        [1~255]        [-1/0~8]       [1~1000]
// Monster      MapNumber      Range      PositionX      PositionY      Direction      Comment
//=============================================================================================================================
   34           9              30        123            155            -1             // Cursed Wizard
   34           9              30        126            181            -1             // Cursed Wizard
   34           9              30        131            174            -1             // Cursed Wizard
   34           9              30        133            170            -1             // Cursed Wizard
   34           9              30        134            175            -1             // Cursed Wizard
   34           9              30        136            177            -1             // Cursed Wizard
   34           9              30        136            178            -1             // Cursed Wizard
   34           9              30        138            157            -1             // Cursed Wizard
   34           9              30        140            179            -1             // Cursed Wizard
   34           9              30        142            176            -1             // Cursed Wizard
   34           9              30        143            155            -1             // Cursed Wizard
   34           9              30        145            158            -1             // Cursed Wizard
   34           9              30        148            178            -1             // Cursed Wizard
   34           9              30        150            162            -1             // Cursed Wizard
   34           9              30        150            180            -1             // Cursed Wizard
   35           9              30        126            163            -1             // Death Gorgon
   35           9              30        132            168            -1             // Death Gorgon
   35           9              30        133            166            -1             // Death Gorgon
   35           9              30        134            158            -1             // Death Gorgon
   35           9              30        135            174            -1             // Death Gorgon
   35           9              30        138            162            -1             // Death Gorgon
   35           9              30        139            162            -1             // Death Gorgon
   35           9              30        139            165            -1             // Death Gorgon
   35           9              30        143            154            -1             // Death Gorgon
   35           9              30        144            177            -1             // Death Gorgon
   36           9              30        123            172            -1             // Shadow
   36           9              30        124            158            -1             // Shadow
   36           9              30        126            154            -1             // Shadow
   36           9              30        128            155            -1             // Shadow
   36           9              30        129            161            -1             // Shadow
   36           9              30        130            168            -1             // Shadow
   36           9              30        130            175            -1             // Shadow
   36           9              30        131            162            -1             // Shadow
   36           9              30        132            181            -1             // Shadow
   36           9              30        133            159            -1             // Shadow
   36           9              30        136            167            -1             // Shadow
   36           9              30        136            181            -1             // Shadow
   36           9              30        137            164            -1             // Shadow
   36           9              30        137            174            -1             // Shadow
   36           9              30        141            170            -1             // Shadow
   36           9              30        146            170            -1             // Shadow
   36           9              30        148            159            -1             // Shadow
   36           9              30        148            174            -1             // Shadow
