0
//=============================================================================================================================
// NPC Location or Traps in City
//=============================================================================================================================
// Range:       [0~N]          [0~30]    [1~255]        [1~255]        [-1/0~8]
// Monster      MapNumber      Range     PositionX      PositionY      Direction      Comment
//=============================================================================================================================
   259          29             0         7              19             2              // Oracle Layla
   567          29             0         10             28             2              // Priestess Veina
end


2
//=============================================================================================================================
// Monster or Traps Fixed Location
//=============================================================================================================================
// Range:       [0~N]          [0~30]     [1~255]        [1~255]        [-1/0~8]       [1~1000]
// Monster      MapNumber      Range      PositionX      PositionY      Direction      Comment
//=============================================================================================================================
   268          29             30        105            54             -1             // Death Angel
   268          29             30        105            86             -1             // Death Angel
   268          29             30        110            65             -1             // Death Angel
   268          29             30        111            72             -1             // Death Angel
   268          29             30        118            95             -1             // Death Angel
   268          29             30        119            57             -1             // Death Angel
   268          29             30        120            50             -1             // Death Angel
   268          29             30        120            75             -1             // Death Angel
   268          29             30        121            67             -1             // Death Angel
   269          29             30        57             71             -1             // Death Centurion
   269          29             30        58             78             -1             // Death Centurion
   269          29             30        63             72             -1             // Death Centurion
   269          29             30        68             77             -1             // Death Centurion
   269          29             30        87             90             -1             // Death Centurion
   270          29             30        108            28             -1             // Blood Soldier
   270          29             30        110            9              -1             // Blood Soldier
   270          29             30        110            35             -1             // Blood Soldier
   270          29             30        114            44             -1             // Blood Soldier
   270          29             30        118            17             -1             // Blood Soldier
   270          29             30        119            35             -1             // Blood Soldier
   270          29             30        121            27             -1             // Blood Soldier
   271          29             30        28             17             -1             // Aegis
   271          29             30        30             75             -1             // Aegis
   271          29             30        35             21             -1             // Aegis
   271          29             30        36             11             -1             // Aegis
   271          29             30        42             12             -1             // Aegis
   271          29             30        45             22             -1             // Aegis
   271          29             30        51             11             -1             // Aegis
   271          29             30        52             24             -1             // Aegis
   271          29             30        53             17             -1             // Aegis
   271          29             30        60             9              -1             // Aegis
   271          29             30        60             22             -1             // Aegis
   272          29             30        67             22             -1             // Rogue Centurion
   272          29             30        69             9              -1             // Rogue Centurion
   272          29             30        74             14             -1             // Rogue Centurion
   272          29             30        81             19             -1             // Rogue Centurion
   272          29             30        82             8              -1             // Rogue Centurion
   272          29             30        86             13             -1             // Rogue Centurion
   272          29             30        92             6              -1             // Rogue Centurion
   272          29             30        96             16             -1             // Rogue Centurion
   272          29             30        99             9              -1             // Rogue Centurion
   272          29             30        109            19             -1             // Rogue Centurion
   273          29             30        74             76             -1             // Necron
   273          29             30        82             77             -1             // Necron
   273          29             30        82             85             -1             // Necron
   273          29             30        93             84             -1             // Necron
   273          29             30        93             96             -1             // Necron
   273          29             30        104            101            -1             // Necron
   273          29             30        115            106            -1             // Necron
   273          29             30        118            84             -1             // Necron
   274          29             30        23             70             -1             // Schriker
   274          29             30        23             85             -1             // Schriker
   274          29             30        29             65             -1             // Schriker
   274          29             30        32             50             -1             // Schriker
   274          29             30        32             77             -1             // Schriker
   274          29             30        35             87             -1             // Schriker
   274          29             30        37             67             -1             // Schriker
   274          29             30        37             109            -1             // Schriker
   274          29             30        38             58             -1             // Schriker
   274          29             30        41             78             -1             // Schriker
   274          29             30        42             51             -1             // Schriker
   274          29             30        42             97             -1             // Schriker
   274          29             30        46             66             -1             // Schriker
   274          29             30        46             86             -1             // Schriker
   274          29             30        47             107            -1             // Schriker
   274          29             30        53             93             -1             // Schriker
   338          29             30        26             76             -1             // Illusion of Kundun
end


