4
//=============================================================================================================================
// Monster Events
//=============================================================================================================================
// Range:       [0~N]          [0~30]     [1~255]        [1~255]        [-1/0~8]       [1~1000]
// Monster      MapNumber      Range      PositionX      PositionY      Direction      Comment
//=============================================================================================================================
end


4
//=============================================================================================================================
// Monster Events
//=============================================================================================================================
// Range:       [0~N]          [0~30]     [1~255]        [1~255]        [-1/0~8]       [1~1000]
// Monster      MapNumber      Range      PositionX      PositionY      Direction      Comment
//=============================================================================================================================
   57           32             30        122            83             -1             // Iron Wheel
   57           32             30        125            109            -1             // Iron Wheel
   57           32             30        130            102            -1             // Iron Wheel
   57           32             30        132            98             -1             // Iron Wheel
   57           32             30        133            103            -1             // Iron Wheel
   57           32             30        135            105            -1             // Iron Wheel
   57           32             30        135            106            -1             // Iron Wheel
   57           32             30        137            85             -1             // Iron Wheel
   57           32             30        139            107            -1             // Iron Wheel
   57           32             30        141            104            -1             // Iron Wheel
   57           32             30        142            83             -1             // Iron Wheel
   57           32             30        144            86             -1             // Iron Wheel
   57           32             30        147            106            -1             // Iron Wheel
   57           32             30        149            90             -1             // Iron Wheel
   57           32             30        149            108            -1             // Iron Wheel
   58           32             30        122            107            -1             // Tantalos
   58           32             30        128            92             -1             // Tantalos
   58           32             30        128            95             -1             // Tantalos
   58           32             30        129            109            -1             // Tantalos
   58           32             30        135            108            -1             // Tantalos
   58           32             30        138            105            -1             // Tantalos
   58           32             30        140            82             -1             // Tantalos
   58           32             30        140            90             -1             // Tantalos
   58           32             30        140            99             -1             // Tantalos
   58           32             30        143            109            -1             // Tantalos
   58           32             30        144            88             -1             // Tantalos
   58           32             30        145            97             -1             // Tantalos
   58           32             30        147            96             -1             // Tantalos
   58           32             30        147            101            -1             // Tantalos
   58           32             30        149            96             -1             // Tantalos
   60           32             30        122            100            -1             // Bloody wolf
   60           32             30        123            86             -1             // Bloody wolf
   60           32             30        125            82             -1             // Bloody wolf
   60           32             30        127            83             -1             // Bloody wolf
   60           32             30        128            89             -1             // Bloody wolf
   60           32             30        129            96             -1             // Bloody wolf
   60           32             30        129            103            -1             // Bloody wolf
   60           32             30        130            90             -1             // Bloody wolf
   60           32             30        131            109            -1             // Bloody wolf
   60           32             30        132            87             -1             // Bloody wolf
   60           32             30        135            95             -1             // Bloody wolf
   60           32             30        135            109            -1             // Bloody wolf
   60           32             30        136            92             -1             // Bloody wolf
   60           32             30        136            102            -1             // Bloody wolf
   60           32             30        140            98             -1             // Bloody wolf
   60           32             30        145            98             -1             // Bloody wolf
   60           32             30        147            87             -1             // Bloody wolf
   60           32             30        147            102            -1             // Bloody wolf
   60           32             30        149            97             -1             // Bloody wolf
   60           32             30        149            101            -1             // Bloody wolf
   62           32             30        122            84             -1             // Mutant
   62           32             30        128            85             -1             // Mutant
   62           32             30        129            84             -1             // Mutant
   62           32             30        129            97             -1             // Mutant
   62           32             30        130            105            -1             // Mutant
   62           32             30        134            87             -1             // Mutant
   62           32             30        135            95             -1             // Mutant
   62           32             30        136            94             -1             // Mutant
   62           32             30        140            100            -1             // Mutant
   62           32             30        142            97             -1             // Mutant
   62           32             30        142            104            -1             // Mutant
   62           32             30        142            108            -1             // Mutant
   62           32             30        143            103            -1             // Mutant
   62           32             30        144            109            -1             // Mutant
   62           32             30        145            102            -1             // Mutant
   62           32             30        146            85             -1             // Mutant
   62           32             30        146            91             -1             // Mutant
   62           32             30        146            96             -1             // Mutant
   62           32             30        146            100            -1             // Mutant
   62           32             30        148            94             -1             // Mutant
