4
//=============================================================================================================================
// Monster Events
//=============================================================================================================================
// Range:       [0~N]          [0~30]     [1~255]        [1~255]        [-1/0~8]       [1~1000]
// Monster      MapNumber      Range      PositionX      PositionY      Direction      Comment
//=============================================================================================================================
   523          71             0         93             187            8              // Trap
   523          71             0         93             187            8              // Trap
   523          71             0         93             192            8              // Trap
   523          71             0         93             192            8              // Trap
   523          71             0         93             198            8              // Trap
   523          71             0         93             198            8              // Trap
   523          71             0         93             203            8              // Trap
   523          71             0         93             203            8              // Trap
   523          71             0         97             186            8              // Trap
   523          71             0         97             186            8              // Trap
   523          71             0         97             203            8              // Trap
   523          71             0         97             203            8              // Trap
   523          71             0         102            186            8              // Trap
   523          71             0         102            186            8              // Trap
   523          71             0         102            203            8              // Trap
   523          71             0         102            203            8              // Trap
   523          71             0         107            186            8              // Trap
   523          71             0         107            186            8              // Trap
   523          71             0         107            203            8              // Trap
   523          71             0         107            203            8              // Trap
   523          71             0         112            187            8              // Trap
   523          71             0         112            187            8              // Trap
   523          71             0         112            198            8              // Trap
   523          71             0         112            198            8              // Trap
   523          71             0         112            203            8              // Trap
   523          71             0         112            203            8              // Trap
   523          71             0         113            193            8              // Trap
   523          71             0         113            193            8              // Trap
   523          71             0         222            165            8              // Trap
   523          71             0         222            165            8              // Trap
   523          71             0         222            170            8              // Trap
   523          71             0         222            170            8              // Trap
   523          71             0         222            175            8              // Trap
   523          71             0         222            175            8              // Trap
   523          71             0         222            180            8              // Trap
   523          71             0         222            180            8              // Trap
   523          71             0         222            185            8              // Trap
   523          71             0         222            185            8              // Trap
   523          71             0         222            190            8              // Trap
   523          71             0         222            190            8              // Trap
end


