//===============================================================
// Index   Npc   Map   X     Y     Comment
//===============================================================
   0       251   *     *     *     //Hanzo the Blacksmith
   1       255   *     *     *     //Liaman the Barmaid
   2       254   *     *     *     //Pasi the Wizard
   3       250   *     *     *     //Harold the Wandering Merchant
   4       248   *     *     *     //Martin the Wandering Merchant
   5       253   *     *     *     //Amy the Potion Girl
   6       244   *     *     *     //Lumen the Barmaid
   7       245   *     *     *     //Isabel the Wizard
   8       246   *     *     *     //Zienna the Weapon Merchant
   9       243   *     *     *     //Eo the Craftsman
   10      242   *     *     *     //Elf Lala
   11      230   *     *     *     //Alex the Wandering Merchant
   12      231   *     *     *     //Thompson Kenel
   13      376   *     *     *     //Drink Seller Hillary
   14      377   *     *     *     //Drink Seller Lindsay
   15      379   *     *     *     //Fireworks Girl
   16      415   *     *     *     //Sivia
   17      416   *     *     *     //Leah
   18      417   *     *     *     //Marseille
   19      492   *     *     *     //Moss Merchant
   20      545   *     *     *     //Christine
   21      239   *     *     *     //Stadium Guard
   22      259   *     *     *     //Priestess Reira
   23      577   *     *     *     //Leina
   24      578   *     *     *     //Bolo
   25      583   *     *     *     //Jin
   26      604   *     *     *     //Jin
   27      230   0     144   147   //253 - (TEST) FO BM
   28      230   0     146   147   //253 - (TEST) FO DL
   29      230   0     148   147   //253 - (TEST) FO ELFA
   30      230   0     150   147   //253 - (TEST) FO MAGO
   31      230   0     142   147   //253 - (TEST) FO MG
   32      230   0     140   147   //253 - (TEST) FO RF
   33      230   0     140   145   //253 - (TEST) FO SUMONER
   34      230   0     148   140   //253 - (TEST) FO Armas 0
   35      230   0     148   138   //253 - (TEST) FO Armas 1
   36      230   0     150   140   //253 - (TEST) FO JOYERIA
   37      230   0     152   140   //253 - (TEST) FO DROP TEST
   38      230   0     150   138   //253 - (TEST) FO PODERES 1
end
