//===================================================================
//Custom achievements by louis
//===================================================================
// Images ID: 61600 ~ 61649 (Data/Custom/Interface/Achievements)
//===================================================================

0
//===========================================================================================================================================
// Bonus Configuration
//===========================================================================================================================================
// #ID  #English                           #Portuguese                                   #Spanish                                 #ImageID       
//===========================================================================================================================================
   0    "Inc.HP"                           "Aumentar HP"                                 "Aumentar HP"                            61612
   1    "Inc.Experience Rate"              "Aumen.Tasa de Experiencia"                   "Inc.Tasa de Experiencia"                61631
   2    "Inc.Base Defense"                 "Aumen.Defesa Base"                           "Inc.Defensa Base"                       61605
   3    "Inc.Full Damage Reflect Rate"     "Aumen.Taxa de Reflexão Total de Dano"        "Inc.Tasa de Reflejo Total de Daño"      61610
   4    "Inc.Critical Damage Rate"         "Aumen.Taxa de Dano Crítico"                  "Inc.Tasa de Daño Critico"               61624
   5    "Inc.Excellent Damage Rate"        "Aumen.Taxa de Dano Excelente"                "Inc.Tasa de Daño Excelente"             61625
   6    "Inc.Double Damage"                "Aumen.Dano Duplo"                            "Inc.Daño Doble"                         61615
   7    "Inc.Triple Damage"                "Aumen.Dano Triplo"                           "Inc.Daño Triple"                        61606
   8    "Inc.Ignore Defense Rate"          "Aumen.Taxa de Ignorar Defesa"                "Inc.Tasa de Ignorar Defensa"            61630
   9    "Resist Critical Damage Rate"      "Res.Taxa de Dano Crítico"                    "Tasa de Resistencia Daño Critico"       61622
   10   "Resist Excellent Damage Rate"     "Res.Taxa de Dano Excelente"                  "Tasa de Resistencia Daño Excelente"     61619
   11   "Resist Double Damage"             "Res.Dano Duplo"                              "Resistencia de Daño Doble"              61623
   12   "Resist Triple Damage"             "Res.Dano Triplo"                             "Resistencia de Daño Triple"             61628
   13   "Resist Ignore Defense"            "Res.Ignorar Defesa"                          "Resistencia de Ignorar Defensa"         61648
   14   "Inc.Weapon Durability Rate"       "Aumen.Taxa de Durabilidade da Arma"          "Inc.Tasa de Durabilidad de Armas"       61617
   15   "Inc.Armor Durability Rate"        "Aumen.Taxa de durabilidade da armadura"      "Inc.Tasa de Durabilidad de Armaduras"   61616
   16   "Inc.Guardian Durability Rate"     "Aumen.Taxa de durabilidade do guardião"      "Inc.Tasa de Durabilidad Guardianes"     61640
   17   "Inc.Offen. FullHP Restore Rate"   "Aumen.Offen.Taxa de restauração HP Total"    "Inc.Ofen.Tasa de Restaurar HP Total"    61604
   18   "Inc.Defen. FullHP Restore Rate"   "Aumen.Defen.Taxa de restauração MP Total"    "Inc.Defen.Tasa de Restaurar HP Total"   61605
   19   "Resist Stun Rate"                 "Taxa de Resistência ao Atordoamento"         "Tasa de Resistencia a Aturdir(stun)"    61607
end

1
//================================================================================================================================
// General Achievements
//================================================================================================================================
// #ID  #English                           #Portuguese                        #Spanish                                 #ImageID       
//================================================================================================================================
   0    "Custom Quest"                     "Custom Quest"                     "Mision Custom"                          61618
   1    "Custom Npc Quest"                 "Custom Npc Quest"                 "Mision NPC Custom"                      61620
   2    "Playing time(Minutes)"            "Playing time(Minutes)"            "Tiempo Jugado(Minutos)"                 61647
   3    "Reset"                            "Reset"                            "Reinicios"                              61602
   4    "Master Reset"                     "Master Reset"                     "Master Reinicios"                       61629
   5    "Complete Blood Castle"            "Complete Blood Castle"            "Completar Blood Castle"                 61632
   6    "Complete Devil Square"            "Complete Devil Square"            "Completar Devil Square"                 61634
   7    "Complete Chaos Castle"            "Complete Chaos Castle"            "Completar Chaos Castle"                 61643
   8    "Win Guild War"                    "Win Guild War"                    "Ganar una Guerra de Gremios"            61635
   9    "Success Chaos Mix"                "Success Chaos Mix"                "Combinacion Exitosa en Chaos Mix"       61649
   10   "Failed Chaos Mix"                 "Failed Chaos Mix"                 "Combinaciones Fallidas en Chaos Mix"    61603
   11   "Pick up Zen"                      "Pick up Zen"                      "Recoger Zen"                            61639
   12   "PvP"                              "PvP"                              "PvP"                                    61601
   13   "PvM"                              "PvM"                              "PvM"                                    61633
   14   "Gift Code Redeem"                 "Gift Code Redeem"                 "Reclamar Codigo de Regalo"              61614
   15   "Luck Wheel spins"                 "Luck Wheel spins"                 "Girar Ruleta de la Suerte"              61642
   16   "Kill Golden mobs"                 "Kill Golden mobs"                 "Matar Dorados"                          61609
   17   "Kill on self-defense"             "Kill on self-defense"             "Matar en defensa propia"                61608
   18   "Kill a PK"                        "Kill a PK"                        "Matar a un PK"                          61611
   19   "Duel Win"                         "Duel Win"                         "Gana un Duelo"                          61613
end
