0
//===============================================================
// ENGLISH
//===============================================================
// Index   Message
//===============================================================
   0       "Level: %d | Resets: %d"
   1       "Reconnecting..."
   2       "Logging in..."
   3       "Waiting character list..."
   4       "Waiting character info..."
   5       "Shopping VIP"
   6       "Welcome to VIP selection, %s!"
   7       "Choose a VIP plan and take advantage!"
   8       "Does not work with master exp & party!"
   9       "Buy %s"
   10      "Value:"
   11      "WC: %d"
   12      "WP: %d"
   13      "GP: %d"
   14      "Warning, once clicked VIP will be purchased"
   15      "Blood Castle:"
   16      "Devil Square"
   17      "Chaos Castle"
   18      "Illusion Temple:"
   19      "Online lottery:"
   20      "Custom Quiz:"
   21      "Custom Bonus:"
   22      "Custom Arena:"
   23      "Custom Drop:"
   24      "King of Mu:"
   25      "Events"
   26      "Buy VIP"
   27      "Ranking"
   28      "Commands"
   29      "Jewel Bank"
   33      "Luck Wheel"
   34      "LevelUp Type"
   35      "Item Smith Shop"
   36      "Achievements"
   43      "Flag System"
   44      "Options"
   45      "Buy Value: %s Zen"
   46      "Buy Value: %s WC"
   47      "Buy Value: %s WP"
   48      "Buy Value: %s GP"
   49      "Sell Value: %s Zen"
   50      "Finances:"
   51      "WC:"
   52      "WP:"
   53      "GP:"
   54      "Welcome!"
   55      "Sell Value: %s WC"
   56      "Sell Value: %s WP"
   57      "Sell Value: %s GP"
   58      "WC"
   59      "WP"
   60      "GP"
   61      "Sell Value: %s Jewel of Bless"
   62      "Sell Value: %s Jewel of Soul"
   63      "Sell Value: %s Jewel of Chaos"
   64      "Value: %s"
   65      "TvT Event:"
   66      "Confirm"
   67      "Do you really want to buy that item?"
   68      "MResets:"
   69      "To deposit use ctrl + right click!"
   70      "Local:"
   71      "[SELL] %s"
   72      "Trade Window"
   73      "Items on sale:"
   74      "Quests"
   75      "Primary Quest"
   76      "Secondary Quest"
   77      "Requisites"
   78      "Reward"
   79      "No mission!"
   80      "All missions have been completed!"
   81      "Free Account"                                                                                       
   82      "Bronze Account"                                                                                     
   83      "Silver Account"                                                                                     
   84      "Gold Account"
   85      "Obtain" 
   86      "Kill" 
   87      "Get Reward"
   88      "Go back to the Quest Npc"
   89      "Mission accomplished!"
   90      "Next"
   91      "Kill Count:"
   92      "Special Buff"
   93      "LevelUp Points:"
   94      "Expericence:"
   95      "Auction system"
   96      "Auction items:"
   97      "Current bid:"
   98      "Offer %d WC"
   99      "Offer %d WP"
   100     "Offer %d GP"
   101     "Ends in:"
   102     "Minimum offer:"
   103     "You were the winner of the auction!"
   104     "Receive your prize"
   105     "Exit the Game?"
   106     "Options Menu"
   107     "Resolution:"
   108     "Font Size:"
   109     "Health Bar:"
   110     "Player:"
   111     "Monster:"
   112     "Custom Interface:"
   113     "Effect - Antilag:"
   114     "Static:"
   115     "Dynamic:"
   116     "Skill:"
   117     "Glow:"
   118     "Wings:"
   119     "Volume Level:"
   120     "AutoAttack:"
   121     "WhisperBeep:"
   122     "Select language:"
   123     "ENG"
   124     "POR"
   125     "SPN"
   126     "ON"
   127     "OFF"
   128     "[Ctrl Key Attack Enabled]"
   129     "[Ctrl Key Attack Disabled]"
   130     "Reset: %d"
   131     "Online"
   132     "%d day(s)+"
   133     "Loading %s"
   134     "Events:"
   135     "Time:"
   136     "Jewel of GemStone"
   137     "ADVANCED STATUS"
   138     "Level (ML):"
   139     "Resets:"
   140     "Total Damage Reflect:"
   141     "Full Damage Reflect Rate:"
   142     "Critical Damage Rate:"
   143     "Critical Damage (PvM):"
   144     "Critical Damage (PvP):"
   145     "Excellent Damage Rate:"
   146     "Excellent Damage (PvM):"
   147     "Excellent Damage (PvP):"
   148     "Double Damage Rate:"
   149     "Triple Damage Rate:"
   150     "Damage Reduction Rate:"
   151     "Shield Skill Damage Reduction Rate:"
   152     "SD Damage Reduction Rate:"
   153     "SD Decrease Damage Rate (Target):"
   154     "Ignore Defense Rate:"
   155     "Ignore SD Rate:"
   156     "Increase Damage PvP:"
   157     "Increase Defense PvP:"
   158     "Resist Double Damage Rate:"
   159     "Resist Ignore Defense Rate:"
   160     "Resist Ignore SD Rate:"
   161     "Resist Critical Damage Rate:"
   162     "Resist Excelent Damage Rate:"
   163     "Resist Stun Rate:"
   164     "Ice Increase / Resist Rate"
   165     "Poison Increase / Resist Rate"
   166     "Lightning Increase / Resist Rate"
   167     "Fire Increase / Resist Rate"
   168     "Earth Increase / Resist Rate"
   169     "Wind Increase / Resist Rate"
   170     "Water Increase / Resist Rate"
   171     "Full HP Restore Rate (Def,Att):"
   172     "Full MP Restore Rate (Def,Att):"
   173     "Full SD Restore Rate (Def,Att):"
   174     "RTT: %d ms"
   175     "PING: %d ms"
   176     "FPS: %d"
   177     "Character"
   178     "Zen:"
   179     "RankUser:"
   180     "Rank:"
   181     "Lvl:"
   182     "Str:"
   183     "Agi:"
   184     "Vit:"
   185     "Ene:"
   186     "Com:"
   187     "Kills:"
   188     "Deaths:"
   189     "Character Status:"
   190     "INFO"
   191     "Defense:"
   192     "MinDmg:"
   193     "MaxDmg:"
   194     "MaxHP:"
   195     "Open Off-Store"
   196     "OFF STORE"
   197     "Bless"
   198     "Soul"
   199     "Chaos"
   200     "Server:"
   201     "Local:"
   202     "Plan"
   203     "Exp"
   204     "Drop"
   205     "OFF HELPER"
   206     "Commands"
   207     "Empty Character Slot"
   208     "Especial Menu"
   209     "Open Quest Window"
   210     "Life: %u/%u"
   211     "Mana: %u/%u"
   212     "%dº"
   213     "Flag System"
   214     "Flag available"
   215     "Buy Flag"
   216     "Use this Flag"
   217     "Put Off Flag"
   218     "Increase Damage %d%%"
   219     "Decrease Damage %d%%"
   220     "Triple damage rate %d%%"
   221     "Resist Double Damage +%d%%"
   222     "Resist Ignore Defense +%d%%"
   223     "Resist Ignore SD +%d%%"
   224     "Resist Critical Damage +%d%%"
   225     "Resist Excellent Damage +%d%%"
   226     "Player"
   227     "Count"
   228     "Join"
   229     "%d / 5"
   230     "Need to Party:"
   231     "PASSWORD IS REQUIRED"
   232     "Only Guild"
   233     "Only Alliance"
   234     "Only Guild"
   235     "Only Alliance"
   236     "Only One Class"
   237     "Active System"
   238     "Max Level"
   239     "Level: %d"
   240     "Status:"
   241     "Zen"
   242     "JoB"
   243     "JoS"
   244     "JoC"
   245     "WCoinC"
   246     "WCoinP"
   247     "GoblinP"
   248     "Buy for %d %s?"
   249     "Gremory Case"
   250     "Max 50 items - If the number of item exceeds "
   251     "the maximum capacity of Gremory Case, item will be deleted in"
   252     "chronological order from the first item stored."
   253     "Character Items"
   254     "Account Items"
   255     "Cancel"
   256     "Use It"
   257     "Buy It"
   258     "Sell Value"
   259     "Reflect Damage +%d%%"
   260     "Add status points"
   261     "Active Invasions"
   262     "Skin System"
   263     "Skin available"
   264     "Buy Skin"
   265     "Use this Skin"
   266     "Put Off Skin"
   267     "<FONT color='#FF0000'>Zone occupied by the %s guild</FONT>"
   268     "Storage %d/%d"
   269     "Special System"
   270     "Withdraw %d"
   271     "Withdraw Max"
   272     "Deposit All"
   273     "You don't have this amount!"
   274     "Shop %d/%d"
   275     "Click to split."
   276     "%d units"
   277     "%d pack"
   278     "/petpickclear"
   279     "/petpick"
   280     "Added all jewels to your pick list!"
   281     "Added %s to your pick list!"
   282     "This item is already on the list!"
   283     "Item not found!"
   284     "Successfully cleared list!"
   285     "Reset"
   286     "Master Reset"
   287     "Would you like to reset your character?"
   288     "Keep Stats"
   289     "Reset Stats"
